case_category,gravity_offence,case_status,state,district,court,unit_type,unit,officer_kgid,officer_name,officer_rank,officer_designation,officer_dob,officer_gender,officer_blood_group,officer_physically_challenged,officer_appointment_date,crime_no,case_no,registered_date,brief_facts,incident_from_date,incident_to_date,info_received_date,latitude,longitude,occurrence_brief_facts,crime_group_name,crime_head_name,act_code,act_description,short_name,section_code,section_description,act_order,section_order,complainant_name,complainant_age,complainant_occupation,complainant_religion,complainant_caste,complainant_gender,victim_name,victim_age,victim_gender,victim_police,accused_name,accused_age,accused_gender,accused_person_id,arrest_type,arrest_date,arrest_state,arrest_district,arrest_station,arrest_io_kgid,arrest_court,arrest_primary_accused_name,arrest_joint_accused_names,chargesheet_date,chargesheet_type,chargesheet_officer_kgid
PAR,Heinous,Chargesheet Filed,Karnataka,Mysuru,Mysuru District & Sessions Court,Police Station,Saraswathipuram PS,KA49701,Gautam Gowda,Inspector,SHO,1978-05-24,Male,AB Negative,1,2005-04-15,329316283202600009,202600009,2024-03-02,"On 29-02-2024, a case of Money Laundering was reported at Saraswathipuram PS, Mysuru district.",2024-02-29T14:00:00,2024-02-29T19:00:00,2024-03-01T11:00:00,12.3346,76.5598,"Incident occurred near coordinates 12.3346, 76.5598 within jurisdiction of Saraswathipuram PS.",Financial Crime,Money Laundering,PMLA,"Prevention of Money Laundering Act, 2002",PMLA,3,Offence of money laundering,1,1,Meena Kulkarni,21,Private Employee,Hindu,General,Male,Gautam Kumar,39,Female,0,Siddharth Patil,18,Male,A1,1.0,2024-03-09T21:00:00,Karnataka,Mysuru,Saraswathipuram PS,KA49701,Mysuru District & Sessions Court,Siddharth Patil,,2024-04-13T21:00:00,B,KA49701
Zero FIR,Heinous,Report Beece (B-Report),Karnataka,Bengaluru Urban,"Principal City Civil & Sessions Court, Bengaluru",Police Station,Bengaluru City PS,KA52105,Rajesh Nair,Constable,Station Writer,1995-05-27,Female,A Negative,0,2013-04-12,891351253202400010,202400010,2025-02-21,"On 17-02-2025, a case of Assault was reported at Bengaluru City PS, Bengaluru Urban district.",2025-02-17T17:00:00,2025-02-18T00:00:00,2025-02-18T13:00:00,12.9831,77.6672,"Incident occurred near coordinates 12.9831, 77.6672 within jurisdiction of Bengaluru City PS.",Crimes Against Body,Assault,IPC,Indian Penal Code,IPC,351,Assault,1,1,Nikhil Kamath,51,Private Employee,Hindu,General,Male,Esha Naik,52,Transgender,0,Hari Sharma,,Female,A1,1.0,2025-02-28T20:00:00,Karnataka,Bengaluru Urban,Bengaluru City PS,KA52105,"Principal City Civil & Sessions Court, Bengaluru",Hari Sharma,,,,
UDR,Non-Heinous,Chargesheet Filed,Karnataka,Kolar,Kolar District & Sessions Court,Police Station,Kolar Town PS,KA29008,Bhavya Kulkarni,Inspector,Circle Inspector,1992-06-27,Male,AB Negative,0,2003-07-11,264242954202200011,202200011,2022-09-20,"On 16-09-2022, a case of Theft was reported at Kolar Town PS, Kolar district.",2022-09-16T15:00:00,2022-09-16T19:00:00,2022-09-16T17:00:00,13.1729,78.1201,"Incident occurred near coordinates 13.1729, 78.1201 within jurisdiction of Kolar Town PS.",Property Crimes,Theft,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Sunil Gowda,36,Private Employee,Hindu,General,Male,Dev Patil,37,Male,0,Vikram Kamath,20,Transgender,A1,1.0,2022-09-27T19:00:00,Karnataka,Kolar,Kolar Town PS,KA29008,Kolar District & Sessions Court,Vikram Kamath,,2022-10-27T19:00:00,C,KA29008
Zero FIR,Non-Heinous,Undetected,Karnataka,Bagalkote,Bagalkote District & Sessions Court,Police Station,Bagalkote Town PS,KA60129,Meena Sharma,Constable,Circle Inspector,1972-03-06,Male,AB Negative,0,2010-01-22,824276825202600012,202600012,2022-03-02,"On 26-02-2022, a case of Cryptocurrency Crime was reported at Bagalkote Town PS, Bagalkote district.",2022-02-26T10:00:00,2022-02-26T11:00:00,2022-02-26T16:00:00,16.1361,75.6508,"Incident occurred near coordinates 16.1361, 75.6508 within jurisdiction of Bagalkote Town PS.",Cyber Crime,Cryptocurrency Crime,ITA,"Information Technology Act, 2000",IT Act,66D,Cheating by personation using a computer resource,1,1,Gautam Reddy,57,Private Employee,Hindu,General,Female,Tanvi Patil,68,Male,0,Ananya Kamath,,Female,A1,,,,,,,,,,,,
UDR,Non-Heinous,Report Beece (B-Report),Karnataka,Davangere,Davangere District & Sessions Court,Police Station,Davangere Extension PS,KA50409,Manish Joshi,Inspector,Circle Inspector,1974-04-12,Male,A Negative,0,2002-09-04,274351018202200013,202200013,2023-11-05,"On 31-10-2023, a case of Murder was reported at Davangere Extension PS, Davangere district.",2023-10-31T04:00:00,2023-10-31T12:00:00,2023-10-31T21:00:00,14.4929,75.984,"Incident occurred near coordinates 14.4929, 75.984 within jurisdiction of Davangere Extension PS.",Crimes Against Body,Murder,IPC,Indian Penal Code,IPC,302,Punishment for murder,1,1,Tanvi Das,28,Private Employee,Hindu,General,Transgender,Isha Gowda,62,Female,0,Kiran Shetty,,Transgender,A1,1.0,2023-11-12T10:00:00,Karnataka,Davangere,Davangere Extension PS,KA50409,Davangere District & Sessions Court,Kiran Shetty,,,,
UDR,Heinous,Undetected,Karnataka,Bidar,Bidar District & Sessions Court,Police Station,Bidar Town PS,KA50571,Nikhil Kumar,Deputy Superintendent,Circle Inspector,1991-11-25,Male,O Positive,0,2013-06-28,210701990202600014,202600014,2023-06-10,"On 06-06-2023, a case of Assault was reported at Bidar Town PS, Bidar district.",2023-06-06T20:00:00,2023-06-07T02:00:00,2023-06-07T13:00:00,17.9147,77.5187,"Incident occurred near coordinates 17.9147, 77.5187 within jurisdiction of Bidar Town PS.",Crimes Against Body,Assault,IPC,Indian Penal Code,IPC,351,Assault,1,1,Dev Sharma,36,Private Employee,Hindu,General,Transgender,Esha Reddy,13,Female,0,Rajesh Shetty,,Female,A1,,,,,,,,,,,,
PAR,Heinous,Undetected,Karnataka,Kolar,Kolar District & Sessions Court,Police Station,Kolar Town PS,KA29523,Rajesh Sharma,Inspector,SHO,1971-12-03,Male,AB Positive,0,2006-02-13,312671486202300015,202300015,2022-01-17,"On 12-01-2022, a case of Dark Web Crime was reported at Kolar Town PS, Kolar district.",2022-01-12T23:00:00,2022-01-13T07:00:00,2022-01-13T12:00:00,13.0805,78.0543,"Incident occurred near coordinates 13.0805, 78.0543 within jurisdiction of Kolar Town PS.",Cyber Crime,Dark Web Crime,ITA,"Information Technology Act, 2000",IT Act,67,Publishing/transmitting obscene material electronically,1,1,Nikhil Gowda,63,Private Employee,Hindu,General,Female,Priya Pai,55,Male,0,Dev Sharma,,Male,A1,,,,,,,,,,,,
PAR,Heinous,Undetected,Karnataka,Kolar,Kolar District & Sessions Court,Police Station,Kolar Town PS,KA29523,Rajesh Sharma,Deputy Superintendent,Circle Inspector,1982-09-10,Female,AB Positive,0,2008-06-08,312671486202300015,202300015,2022-01-17,"On 12-01-2022, a case of Dark Web Crime was reported at Kolar Town PS, Kolar district.",2022-01-12T23:00:00,2022-01-13T07:00:00,2022-01-13T12:00:00,13.0805,78.0543,"Incident occurred near coordinates 13.0805, 78.0543 within jurisdiction of Kolar Town PS.",Cyber Crime,Dark Web Crime,ITA,"Information Technology Act, 2000",IT Act,67,Publishing/transmitting obscene material electronically,1,1,,,,,,,,,,0,Esha Hegde,67,Female,A2,,,,,,,,,,,,
Zero FIR,Non-Heinous,Report Beece (B-Report),Karnataka,Kalaburagi,Kalaburagi District & Sessions Court,Police Station,Kalaburagi City PS,KA87939,Kiran Reddy,Inspector,Investigating Officer,1994-05-06,Female,AB Positive,0,2016-10-14,813893621202400016,202400016,2024-01-17,"On 12-01-2024, a case of Burglary was reported at Kalaburagi City PS, Kalaburagi district.",2024-01-12T08:00:00,2024-01-12T09:00:00,2024-01-13T06:00:00,17.3305,76.8771,"Incident occurred near coordinates 17.3305, 76.8771 within jurisdiction of Kalaburagi City PS.",Property Crimes,Burglary,IPC,Indian Penal Code,IPC,457,Lurking house-trespass or house-breaking by night,1,1,Priya Das,62,Private Employee,Hindu,General,Transgender,Tanvi Kulkarni,50,Female,0,Hari Verma,,Male,A1,1.0,2024-01-24T17:00:00,Karnataka,Kalaburagi,Kalaburagi City PS,KA87939,Kalaburagi District & Sessions Court,Hari Verma,,,,
PAR,Heinous,Report Beece (B-Report),Karnataka,Ballari,Ballari District & Sessions Court,Police Station,Ballari City PS,KA58009,Aarav Patil,Deputy Superintendent,Circle Inspector,1976-03-27,Female,O Negative,1,2005-05-04,349619401202200017,202200017,2022-09-30,"On 25-09-2022, a case of Robbery was reported at Ballari City PS, Ballari district.",2022-09-25T11:00:00,2022-09-25T16:00:00,2022-09-26T09:00:00,15.1741,77.0,"Incident occurred near coordinates 15.1741, 77.0 within jurisdiction of Ballari City PS.",Property Crimes,Robbery,IPC,Indian Penal Code,IPC,392,Punishment for robbery,1,1,Sanjay Naik,64,Private Employee,Hindu,General,Transgender,Esha Sharma,45,Female,0,Suresh Deshmukh,,Female,A1,1.0,2022-10-07T23:00:00,Karnataka,Ballari,Ballari City PS,KA58009,Ballari District & Sessions Court,Suresh Deshmukh,Divya Kulkarni,,,
PAR,Non-Heinous,Report Beece (B-Report),Karnataka,Ballari,Ballari District & Sessions Court,Police Station,Ballari City PS,KA58009,Aarav Patil,Constable,Circle Inspector,1981-02-12,Female,B Positive,0,2012-06-26,349619401202200017,202200017,2022-09-30,"On 25-09-2022, a case of Robbery was reported at Ballari City PS, Ballari district.",2022-09-25T11:00:00,2022-09-25T16:00:00,2022-09-26T09:00:00,15.1741,77.0,"Incident occurred near coordinates 15.1741, 77.0 within jurisdiction of Ballari City PS.",Property Crimes,Robbery,IPC,Indian Penal Code,IPC,392,Punishment for robbery,1,1,,,,,,,,,,0,Divya Kulkarni,,Female,A2,,,,,,,,,,,,
FIR,Heinous,Under Investigation,Karnataka,Chikkamagaluru,Chikkamagaluru District & Sessions Court,Police Station,Chikkamagaluru PS,KA67824,Esha Sharma,Inspector,Investigating Officer,1983-08-23,Female,O Positive,0,2020-05-11,112119870202500018,202500018,2023-02-05,"On 30-01-2023, a case of Robbery was reported at Chikkamagaluru PS, Chikkamagaluru district.",2023-01-30T23:00:00,2023-01-31T04:00:00,2023-01-31T20:00:00,13.3637,75.8032,"Incident occurred near coordinates 13.3637, 75.8032 within jurisdiction of Chikkamagaluru PS.",Property Crimes,Robbery,IPC,Indian Penal Code,IPC,392,Punishment for robbery,1,1,Tanvi Rao,79,Private Employee,Hindu,General,Transgender,Gautam Kumar,62,Female,0,Aditi Nair,,Transgender,A1,1.0,2023-02-12T08:00:00,Karnataka,Chikkamagaluru,Chikkamagaluru PS,KA67824,Chikkamagaluru District & Sessions Court,Aditi Nair,Ananya Bhat,,,
FIR,Heinous,Under Investigation,Karnataka,Chikkamagaluru,Chikkamagaluru District & Sessions Court,Police Station,Chikkamagaluru PS,KA67824,Esha Sharma,Constable,Circle Inspector,1982-05-07,Male,AB Negative,0,2011-01-09,112119870202500018,202500018,2023-02-05,"On 30-01-2023, a case of Robbery was reported at Chikkamagaluru PS, Chikkamagaluru district.",2023-01-30T23:00:00,2023-01-31T04:00:00,2023-01-31T20:00:00,13.3637,75.8032,"Incident occurred near coordinates 13.3637, 75.8032 within jurisdiction of Chikkamagaluru PS.",Property Crimes,Robbery,IPC,Indian Penal Code,IPC,392,Punishment for robbery,1,1,,,,,,,,,,0,Ananya Bhat,20,Male,A2,,,,,,,,,,,,
FIR,Non-Heinous,Report Beece (B-Report),Karnataka,Ramanagara,Ramanagara District & Sessions Court,Police Station,Ramanagara Town PS,KA93244,Aarav Hegde,Inspector,SHO,1989-05-24,Female,B Positive,0,2009-10-20,154845800202500019,202500019,2022-12-25,"On 23-12-2022, a case of Drug Offence was reported at Ramanagara Town PS, Ramanagara district.",2022-12-23T05:00:00,2022-12-23T10:00:00,2022-12-23T18:00:00,12.636,77.2271,"Incident occurred near coordinates 12.636, 77.2271 within jurisdiction of Ramanagara Town PS.",Narcotics,Drug Offence,NDPS,"Narcotic Drugs and Psychotropic Substances Act, 1985",NDPS,20,Punishment for cannabis-related offences,1,1,Chirag Naik,75,Private Employee,Hindu,General,Transgender,Priya Kulkarni,10,Male,0,Kiran Verma,,Transgender,A1,1.0,2023-01-01T07:00:00,Karnataka,Ramanagara,Ramanagara Town PS,KA93244,Ramanagara District & Sessions Court,Kiran Verma,Vikram Patil,,,
FIR,Non-Heinous,Report Beece (B-Report),Karnataka,Ramanagara,Ramanagara District & Sessions Court,Police Station,Ramanagara Town PS,KA93244,Aarav Hegde,Head Constable,Circle Inspector,1995-08-27,Female,B Negative,0,2000-07-26,154845800202500019,202500019,2022-12-25,"On 23-12-2022, a case of Drug Offence was reported at Ramanagara Town PS, Ramanagara district.",2022-12-23T05:00:00,2022-12-23T10:00:00,2022-12-23T18:00:00,12.636,77.2271,"Incident occurred near coordinates 12.636, 77.2271 within jurisdiction of Ramanagara Town PS.",Narcotics,Drug Offence,NDPS,"Narcotic Drugs and Psychotropic Substances Act, 1985",NDPS,20,Punishment for cannabis-related offences,1,1,,,,,,,,,,0,Vikram Patil,,Female,A2,,,,,,,,,,,,
UDR,Heinous,Chargesheet Filed,Karnataka,Kalaburagi,Kalaburagi District & Sessions Court,Police Station,Kalaburagi City PS,KA27583,Suresh Deshmukh,Sub-Inspector,SHO,1982-02-18,Female,A Positive,0,2007-11-08,287817719202500020,202500020,2024-08-29,"On 24-08-2024, a case of Money Laundering was reported at Kalaburagi City PS, Kalaburagi district.",2024-08-24T14:00:00,2024-08-24T16:00:00,2024-08-25T01:00:00,17.3585,76.7989,"Incident occurred near coordinates 17.3585, 76.7989 within jurisdiction of Kalaburagi City PS.",Financial Crime,Money Laundering,PMLA,"Prevention of Money Laundering Act, 2002",PMLA,3,Offence of money laundering,1,1,Sanjay Nair,35,Private Employee,Hindu,General,Transgender,Sanjay Shenoy,56,Transgender,0,Sunil Kumar,,Male,A1,1.0,2024-09-05T18:00:00,Karnataka,Kalaburagi,Kalaburagi City PS,KA27583,Kalaburagi District & Sessions Court,Sunil Kumar,Farhan Reddy,2024-10-10T18:00:00,B,KA27583
UDR,Non-Heinous,Chargesheet Filed,Karnataka,Kalaburagi,Kalaburagi District & Sessions Court,Police Station,Kalaburagi City PS,KA27583,Suresh Deshmukh,Deputy Superintendent,SHO,1981-12-03,Male,O Positive,1,2003-11-17,287817719202500020,202500020,2024-08-29,"On 24-08-2024, a case of Money Laundering was reported at Kalaburagi City PS, Kalaburagi district.",2024-08-24T14:00:00,2024-08-24T16:00:00,2024-08-25T01:00:00,17.3585,76.7989,"Incident occurred near coordinates 17.3585, 76.7989 within jurisdiction of Kalaburagi City PS.",Financial Crime,Money Laundering,PMLA,"Prevention of Money Laundering Act, 2002",PMLA,3,Offence of money laundering,1,1,,,,,,,,,,0,Farhan Reddy,20,Transgender,A2,,,,,,,,,,,,
FIR,Non-Heinous,Under Investigation,Karnataka,Ramanagara,Ramanagara District & Sessions Court,Police Station,Ramanagara Town PS,KA71954,Vikram Das,Deputy Superintendent,Circle Inspector,1970-04-26,Female,A Positive,0,2012-06-25,122515132202300021,202300021,2023-01-28,"On 22-01-2023, a case of Robbery was reported at Ramanagara Town PS, Ramanagara district.",2023-01-22T14:00:00,2023-01-22T15:00:00,2023-01-23T09:00:00,12.7562,77.2471,"Incident occurred near coordinates 12.7562, 77.2471 within jurisdiction of Ramanagara Town PS.",Property Crimes,Robbery,IPC,Indian Penal Code,IPC,392,Punishment for robbery,1,1,Divya Bhat,35,Private Employee,Hindu,General,Male,Rajesh Joshi,41,Female,0,Sunil Bhat,,Transgender,A1,1.0,2023-02-04T02:00:00,Karnataka,Ramanagara,Ramanagara Town PS,KA71954,Ramanagara District & Sessions Court,Sunil Bhat,Abhishek Shenoy,,,
FIR,Heinous,Under Investigation,Karnataka,Ramanagara,Ramanagara District & Sessions Court,Police Station,Ramanagara Town PS,KA71954,Vikram Das,Sub-Inspector,Investigating Officer,1972-12-16,Female,AB Negative,0,2020-12-18,122515132202300021,202300021,2023-01-28,"On 22-01-2023, a case of Robbery was reported at Ramanagara Town PS, Ramanagara district.",2023-01-22T14:00:00,2023-01-22T15:00:00,2023-01-23T09:00:00,12.7562,77.2471,"Incident occurred near coordinates 12.7562, 77.2471 within jurisdiction of Ramanagara Town PS.",Property Crimes,Robbery,IPC,Indian Penal Code,IPC,392,Punishment for robbery,1,1,,,,,,,,,,0,Abhishek Shenoy,25,Transgender,A2,,,,,,,,,,,,
Zero FIR,Non-Heinous,Chargesheet Filed,Karnataka,Hassan,Hassan District & Sessions Court,Police Station,Hassan Town PS,KA97594,Dev Joshi,Deputy Superintendent,Station Writer,1993-03-25,Female,A Negative,0,2015-01-21,836149075202400022,202400022,2024-11-08,"On 04-11-2024, a case of Drug Offence was reported at Hassan Town PS, Hassan district.",2024-11-04T10:00:00,2024-11-04T14:00:00,2024-11-04T18:00:00,12.9869,76.0384,"Incident occurred near coordinates 12.9869, 76.0384 within jurisdiction of Hassan Town PS.",Narcotics,Drug Offence,NDPS,"Narcotic Drugs and Psychotropic Substances Act, 1985",NDPS,20,Punishment for cannabis-related offences,1,1,Abhishek Verma,39,Private Employee,Hindu,General,Transgender,Meena Gowda,10,Female,0,Siddharth Joshi,,Transgender,A1,1.0,2024-11-15T20:00:00,Karnataka,Hassan,Hassan Town PS,KA97594,Hassan District & Sessions Court,Siddharth Joshi,,2024-12-07T20:00:00,A,KA97594
Zero FIR,Non-Heinous,Under Investigation,Karnataka,Hassan,Hassan District & Sessions Court,Police Station,Hassan Town PS,KA76132,Dev Deshmukh,Deputy Superintendent,Station Writer,1987-02-21,Female,AB Positive,0,2007-09-26,818235960202200023,202200023,2025-09-28,"On 24-09-2025, a case of Cheating was reported at Hassan Town PS, Hassan district.",2025-09-24T15:00:00,2025-09-24T18:00:00,2025-09-24T17:00:00,13.0176,76.1268,"Incident occurred near coordinates 13.0176, 76.1268 within jurisdiction of Hassan Town PS.",Financial Crime,Cheating,IPC,Indian Penal Code,IPC,420,Cheating and dishonestly inducing delivery of property,1,1,Ananya Shenoy,78,Private Employee,Hindu,General,Female,Deepak Naik,26,Male,0,Aarav Kulkarni,,Transgender,A1,1.0,2025-10-05T02:00:00,Karnataka,Hassan,Hassan Town PS,KA76132,Hassan District & Sessions Court,Aarav Kulkarni,,,,
