case_category,gravity_offence,case_status,state,district,court,unit_type,unit,officer_kgid,officer_name,officer_rank,officer_designation,officer_dob,officer_gender,officer_blood_group,officer_physically_challenged,officer_appointment_date,crime_no,case_no,registered_date,brief_facts,incident_from_date,incident_to_date,info_received_date,latitude,longitude,occurrence_brief_facts,crime_group_name,crime_head_name,act_code,act_description,short_name,section_code,section_description,act_order,section_order,complainant_name,complainant_age,complainant_occupation,complainant_religion,complainant_caste,complainant_gender,victim_name,victim_age,victim_gender,victim_police,accused_name,accused_age,accused_gender,accused_person_id,arrest_type,arrest_date,arrest_state,arrest_district,arrest_station,arrest_io_kgid,arrest_court,arrest_primary_accused_name,arrest_joint_accused_names,chargesheet_date,chargesheet_type,chargesheet_officer_kgid,CaseMasterID,DistrictID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CrimeRegisteredDate,age_years,gender_id,hour_of_day,day_of_week,month,is_weekend,is_night_time,co_offender_count,hist_station_crime_count_30d,hist_district_crime_count_30d,spatial_density_ratio,risk_tier_id,hotspot_flag_id,recidivism_flag_id
FIR,Non-Heinous,Chargesheet Filed,Karnataka,Ballari,Ballari District & Sessions Court,Police Station,Ballari City PS,KA59412,Shivakumar Chavhan,Constable,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/08/125/2025/0015,CC/2025/050015,2025-01-24,Snatching of gold chain from pedestrian by bike-borne suspects during evening hours.,2025-01-24T03:55:43,2025-01-24T03:55:43,2025-01-24T11:55:43,15.1933,76.8694,"Incident near coordinates 15.1933, 76.8694",Crimes Against Body,Grievous Hurt,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Kumar Deshmukh,56,Private Employee,Hindu,General,Male,Ganesh Joshi,58,Female,0,Vijay Gowda,22,Male,A15,1.0,2025-01-24T11:55:43,Karnataka,Ballari,Ballari City PS,KA23433,Ballari District & Sessions Court,Vijay Gowda,,2025-01-24T11:55:43,C,KA91598,50015,8,125,3,1,2,8,1,2025-01-24 11:55:43,22,1,3,5,1,0,1,1,230,1236,3.39,2,1,0
FIR,Heinous,Chargesheet Filed,Karnataka,Ballari,Ballari District & Sessions Court,Police Station,Ballari City PS,KA60371,Mahesh Rao,Sub-Inspector,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/08/122/2025/0016,CC/2025/050016,2025-10-20,Burglary incident reported at commercial establishment. Locked doors broken open and cash stolen.,2025-10-19T04:20:31,2025-10-19T04:20:31,2025-10-20T13:20:31,15.2161,76.9543,"Incident near coordinates 15.2161, 76.9543",Financial Crime,Cheating,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Kumar Deshmukh,43,Private Employee,Hindu,General,Male,Ganesh Shetty,30,Female,0,Abhishek Kulkarni,22,Male,A16,1.0,2025-10-20T13:20:31,Karnataka,Ballari,Ballari City PS,KA78643,Ballari District & Sessions Court,Abhishek Kulkarni,,2025-10-20T13:20:31,C,KA84593,50016,8,122,3,2,4,15,1,2025-10-20 13:20:31,22,1,4,7,10,1,1,4,266,3101,2.18,3,1,1
FIR,Non-Heinous,Chargesheet Filed,Karnataka,Davangere,Davangere District & Sessions Court,Police Station,Davangere Extension PS,KA51631,Satish Reddy,Sub-Inspector,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/12/180/2025/0017,CC/2025/050017,2025-08-22,Complainant reported theft of motor vehicle parked in front of residence during night hours.,2025-08-21T18:36:46,2025-08-21T18:36:46,2025-08-22T06:36:46,14.4595,75.8988,"Incident near coordinates 14.4595, 75.8988",Property Crimes,Burglary,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Prakash Naik,48,Private Employee,Hindu,General,Male,Kavitha Kulkarni,49,Female,0,Abhishek Deshmukh,51,Male,A17,1.0,2025-08-22T06:36:46,Karnataka,Davangere,Davangere Extension PS,KA35625,Davangere District & Sessions Court,Abhishek Deshmukh,,2025-08-22T06:36:46,C,KA12004,50017,12,180,3,1,1,3,1,2025-08-22 06:36:46,51,1,18,4,8,0,0,1,745,3482,3.92,2,1,0
FIR,Non-Heinous,Chargesheet Filed,Karnataka,Ballari,Ballari District & Sessions Court,Police Station,Ballari City PS,KA16583,Anand Kuruba,Head Constable,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/08/121/2025/0018,CC/2025/050018,2025-12-19,Housebreaking by night reported. Electronic goods and valuables stolen while occupants were away.,2025-12-18T01:11:57,2025-12-18T01:11:57,2025-12-19T13:11:57,15.1436,76.9091,"Incident near coordinates 15.1436, 76.9091",Cyber Crime,Dark Web Crime,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Anand Gowda,61,Private Employee,Hindu,General,Male,Raghavendra Bhat,21,Female,0,Divya Deshmukh,68,Transgender,A18,1.0,2025-12-19T13:11:57,Karnataka,Ballari,Ballari City PS,KA19681,Ballari District & Sessions Court,Divya Deshmukh,,2025-12-19T13:11:57,C,KA20432,50018,8,121,1,1,3,12,1,2025-12-19 13:11:57,68,3,1,4,12,0,1,1,716,2752,3.21,1,1,0
FIR,Heinous,Chargesheet Filed,Karnataka,Ballari,Ballari District & Sessions Court,Police Station,Ballari City PS,KA65776,Vijay Nayak,Constable,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/08/117/2025/0019,CC/2025/050019,2025-11-07,Complainant reported theft of motor vehicle parked in front of residence during night hours.,2025-11-05T17:46:01,2025-11-05T17:46:01,2025-11-07T05:46:01,15.1487,76.9948,"Incident near coordinates 15.1487, 76.9948",Crimes Against Body,Murder,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Basavaraj Puri,62,Private Employee,Hindu,General,Male,Prakash Deshmukh,43,Female,0,Sunitha Kambale,70,Female,A19,1.0,2025-11-07T05:46:01,Karnataka,Ballari,Ballari City PS,KA71107,Ballari District & Sessions Court,Sunitha Kambale,,2025-11-07T05:46:01,C,KA65751,50019,8,117,1,2,2,6,1,2025-11-07 05:46:01,70,2,17,3,11,0,0,1,339,1348,4.06,3,1,0
FIR,Non-Heinous,Chargesheet Filed,Karnataka,Kalaburagi,Kalaburagi District & Sessions Court,Police Station,Kalaburagi City PS,KA43756,Pradeep Naik,Sub-Inspector,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/07/107/2025/0020,CC/2025/050020,2025-10-30,Accused unlawfully intercepted complainant near main road intersection and committed extortion and assault.,2025-10-28T18:58:12,2025-10-28T18:58:12,2025-10-30T12:58:12,17.3376,76.7571,"Incident near coordinates 17.3376, 76.7571",Financial Crime,Money Laundering,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Satish Bhat,53,Private Employee,Hindu,General,Male,Kiran Kuruba,21,Female,0,Abhishek Joshi,38,Male,A20,1.0,2025-10-30T12:58:12,Karnataka,Kalaburagi,Kalaburagi City PS,KA89995,Kalaburagi District & Sessions Court,Abhishek Joshi,,2025-10-30T12:58:12,C,KA33409,50020,7,107,2,1,4,14,1,2025-10-30 12:58:12,38,1,18,2,10,0,0,1,462,776,1.31,1,0,0
FIR,Heinous,Chargesheet Filed,Karnataka,Shivamogga,Shivamogga District & Sessions Court,Police Station,Shivamogga Town PS,KA35198,Raghavendra Puri,Inspector,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/11/164/2025/0021,CC/2025/050021,2025-07-17,Snatching of gold chain from pedestrian by bike-borne suspects during evening hours.,2025-07-16T19:49:37,2025-07-16T19:49:37,2025-07-17T08:49:37,13.9138,75.6052,"Incident near coordinates 13.9138, 75.6052",Crimes Against Body,Grievous Hurt,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Aswini Joshi,56,Private Employee,Hindu,General,Male,Abhishek Rao,45,Female,0,Satish Shetty,49,Male,A21,1.0,2025-07-17T08:49:37,Karnataka,Shivamogga,Shivamogga Town PS,KA69767,Shivamogga District & Sessions Court,Satish Shetty,,2025-07-17T08:49:37,C,KA77691,50021,11,164,3,2,2,8,1,2025-07-17 08:49:37,49,1,19,3,7,0,0,1,473,2971,0.34,3,0,0
FIR,Heinous,Chargesheet Filed,Karnataka,Ballari,Ballari District & Sessions Court,Police Station,Ballari City PS,KA28697,Darshan Chavhan,Head Constable,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/08/125/2025/0022,CC/2025/050022,2025-08-20,Complainant reported theft of motor vehicle parked in front of residence during night hours.,2025-08-19T03:17:18,2025-08-19T03:17:18,2025-08-20T10:17:18,15.1994,76.9417,"Incident near coordinates 15.1994, 76.9417",Financial Crime,Money Laundering,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Sudha Naik,62,Private Employee,Hindu,General,Male,Kiran Reddy,46,Female,0,Aswini Pujari,31,Female,A22,1.0,2025-08-20T10:17:18,Karnataka,Ballari,Ballari City PS,KA24804,Ballari District & Sessions Court,Aswini Pujari,,2025-08-20T10:17:18,C,KA49721,50022,8,125,2,2,4,14,1,2025-08-20 10:17:18,31,2,3,2,8,0,1,2,751,1944,0.91,3,1,0
FIR,Non-Heinous,Chargesheet Filed,Karnataka,Kalaburagi,Kalaburagi District & Sessions Court,Police Station,Kalaburagi City PS,KA67885,Kumar Bhat,Constable,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/07/107/2025/0023,CC/2025/050023,2025-05-11,Burglary incident reported at commercial establishment. Locked doors broken open and cash stolen.,2025-05-09T12:28:50,2025-05-09T12:28:50,2025-05-11T04:28:50,17.3294,76.8318,"Incident near coordinates 17.3294, 76.8318",Financial Crime,Money Laundering,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Ramesh Kambale,25,Private Employee,Hindu,General,Male,Abhishek Naik,27,Female,0,Shivakumar Reddy,20,Male,A23,1.0,2025-05-11T04:28:50,Karnataka,Kalaburagi,Kalaburagi City PS,KA90117,Kalaburagi District & Sessions Court,Shivakumar Reddy,,2025-05-11T04:28:50,C,KA51138,50023,7,107,3,1,4,14,1,2025-05-11 04:28:50,20,1,12,5,5,0,0,1,626,3313,0.58,2,1,0
FIR,Non-Heinous,Chargesheet Filed,Karnataka,Kalaburagi,Kalaburagi District & Sessions Court,Police Station,Kalaburagi City PS,KA32514,Manjunath Naik,Constable,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/07/108/2025/0024,CC/2025/050024,2025-03-13,Housebreaking by night reported. Electronic goods and valuables stolen while occupants were away.,2025-03-11T16:47:31,2025-03-11T16:47:31,2025-03-13T02:47:31,17.2856,76.8075,"Incident near coordinates 17.2856, 76.8075",Property Crimes,Burglary,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Rekha Gowda,47,Private Employee,Hindu,General,Male,Venkatesh Joshi,56,Female,0,Kumar Kambale,62,Male,A24,1.0,2025-03-13T02:47:31,Karnataka,Kalaburagi,Kalaburagi City PS,KA40390,Kalaburagi District & Sessions Court,Kumar Kambale,,2025-03-13T02:47:31,C,KA32495,50024,7,108,2,1,1,3,1,2025-03-13 02:47:31,62,1,16,2,3,0,0,1,399,3294,2.52,2,1,0
FIR,Non-Heinous,Chargesheet Filed,Karnataka,Shivamogga,Shivamogga District & Sessions Court,Police Station,Shivamogga Town PS,KA22547,Pradeep Hegde,Head Constable,Investigating Officer,1988-05-15,Male,O Positive,0,2012-06-01,FIR/11/163/2025/0025,CC/2025/050025,2025-03-22,Snatching of gold chain from pedestrian by bike-borne suspects during evening hours.,2025-03-20T19:04:32,2025-03-20T19:04:32,2025-03-22T09:04:32,13.9133,75.5286,"Incident near coordinates 13.9133, 75.5286",Financial Crime,Cheating,IPC,Indian Penal Code,IPC,379,Punishment for theft,1,1,Sunitha Bhat,24,Private Employee,Hindu,General,Male,Meenakshi Naik,48,Female,0,Vijay Nayak,24,Male,A25,1.0,2025-03-22T09:04:32,Karnataka,Shivamogga,Shivamogga Town PS,KA63388,Shivamogga District & Sessions Court,Vijay Nayak,,2025-03-22T09:04:32,C,KA33807,50025,11,163,3,1,4,15,1,2025-03-22 09:04:32,24,1,19,4,3,0,0,1,910,2715,2.81,2,1,0
