AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
80,43,Logan Bath,41.0,2.0,A1
81,44,Gavin Kala,46.0,1.0,A1
82,45,Charles Date,,2.0,A1
83,46,Siya Thakur,22.0,1.0,A1
84,47,Varenya Ratti,21.0,2.0,A1
85,47,Hritik Swaminathan,35.0,1.0,A2
86,48,Chaitaly Setty,44.0,1.0,A1
87,49,Odika Nori,23.0,2.0,A1
88,49,Mohini Sagar,59.0,1.0,A2
89,50,Frederick Chander,31.0,1.0,A1
90,50,Gopal Pradhan,52.0,2.0,A2
91,51,Ishwar Mallick,43.0,1.0,A1
92,52,Gavin Wali,48.0,2.0,A1
93,53,Charles Dugal,33.0,1.0,A1
94,53,Chandran Bumb,63.0,1.0,A2
95,54,Christopher Amble,46.0,2.0,A1
96,55,Omisha Mann,54.0,1.0,A1
97,56,Gaurang Sarkar,,,A1
98,56,Yagnesh Sarin,49.0,2.0,A2
99,57,Yashvi Hari,24.0,1.0,A1
100,57,Indali Divan,53.0,,A2
101,57,Harshil Dhingra,34.0,2.0,A3
102,57,Rudra Ghose,44.0,1.0,A4
103,58,Diya Dora,,1.0,A1
104,59,Baljiwan Bhandari,60.0,1.0,A1
105,59,Bhavini Bose,48.0,1.0,A2
106,59,Yashica Rajagopalan,55.0,1.0,A3
107,60,Charles Natt,42.0,1.0,A1
108,61,Kai Chad,42.0,1.0,A1
109,61,Krisha Narasimhan,31.0,1.0,A2
110,62,Pranit Kala,42.0,,A1
111,63,Nirja Patla,27.0,2.0,A1
112,64,Dayamai Singh,55.0,3.0,A1
113,65,Kamya Chauhan,43.0,,A1
114,65,Bhavani Chacko,26.0,2.0,A2
115,66,Madhav Devan,,2.0,A1
116,67,Fariq Bahl,52.0,1.0,A1
117,68,Rachit Chada,21.0,1.0,A1
118,69,Lila Prakash,22.0,1.0,A1
119,69,Amol Parikh,44.0,1.0,A2
120,70,Ucchal Srinivas,30.0,2.0,A1
121,70,Krishna Bhatnagar,42.0,2.0,A2
122,71,Ria Raju,46.0,1.0,A1
123,72,Falan Ravi,43.0,2.0,A1
124,72,Yochana Dutta,69.0,1.0,A2
125,73,Jeevika Pathak,29.0,,A1
126,74,Mitali Murthy,67.0,1.0,A1
127,75,Vritti Iyengar,69.0,1.0,A1
128,76,Ekaja Palan,42.0,1.0,A1
129,76,Bina Mital,51.0,1.0,A2
130,77,Nimrat Borah,61.0,2.0,A1
131,77,Edhitha Borah,51.0,2.0,A2
132,77,Unnati Varughese,70.0,2.0,A3
133,77,Kabir Gopal,42.0,2.0,A4
134,78,Daksha Gala,19.0,1.0,A1
135,79,Zashil Hegde,,2.0,A1
136,80,Onveer Nazareth,43.0,,A1
137,80,Ayush Bumb,46.0,1.0,A2
138,80,Alka Kade,61.0,1.0,A3
139,80,Azaan Tank,48.0,,A4
140,81,Elijah Bhasin,18.0,2.0,A1
141,81,Ria Sagar,33.0,2.0,A2
142,81,Ucchal Jani,28.0,1.0,A3
143,82,Bina Rajagopalan,,1.0,A1
144,82,Yuvraj Dutta,68.0,2.0,A2
145,82,Dhriti Gupta,35.0,1.0,A3
146,83,Arin Chana,22.0,2.0,A1
147,84,Jasmit Bath,58.0,2.0,A1
148,85,Chakradev Barad,50.0,2.0,A1
149,86,Falak Nagar,56.0,2.0,A1
150,86,Maya Mistry,34.0,2.0,A2
151,86,Yashica Upadhyay,21.0,2.0,A3
152,87,Anirudh Sastry,39.0,1.0,A1
153,88,Ekta Sridhar,28.0,2.0,A1
154,88,Dipta Ghose,39.0,3.0,A2
155,88,Hema Pandya,49.0,2.0,A3
156,89,Riya Kunda,19.0,,A1
157,90,Wriddhish Kibe,,1.0,A1
158,91,Urmi Chaudhry,56.0,1.0,A1
159,92,Daniel Chakraborty,20.0,1.0,A1
160,92,Baljiwan Gill,22.0,2.0,A2
161,92,Patrick Bansal,,1.0,A3
162,93,Hredhaan Nayak,25.0,2.0,A1
163,94,Ganga Gaba,56.0,2.0,A1
164,94,Aarini Grewal,20.0,1.0,A2
165,95,Yutika Narang,39.0,1.0,A1
166,96,Leela Keer,18.0,1.0,A1
167,97,Udyati Mohanty,,2.0,A1
168,98,Timothy Kanda,65.0,1.0,A1
169,99,Samesh Suresh,41.0,,A1
170,100,Tanmayi Bhardwaj,,1.0,A1
171,100,Darika Bains,,1.0,A2
172,101,Hemangini Bhatt,55.0,2.0,A1
173,102,Krishna Salvi,24.0,2.0,A1
174,102,Lavanya Sen,54.0,1.0,A2
175,103,Maya Wadhwa,51.0,1.0,A1
176,104,Chanakya Konda,62.0,3.0,A1
177,105,Hemangini Raj,,1.0,A1
178,106,Urvashi Khosla,58.0,1.0,A1
179,107,Aadhya Jani,37.0,2.0,A1
180,107,Farhan Sengupta,25.0,1.0,A2
181,107,George Wason,36.0,3.0,A3
182,108,Gaurangi Mitter,47.0,2.0,A1
183,108,Siddharth Gupta,68.0,,A2
184,108,Varenya Kibe,33.0,1.0,A3
185,109,Jagrati Morar,49.0,,A1
186,109,Jagvi Varghese,46.0,2.0,A2
187,110,Dhriti Sachdev,40.0,2.0,A1
188,110,Timothy Dhingra,26.0,2.0,A2
189,111,Victor Raghavan,34.0,2.0,A1
190,112,Ekansh Dora,38.0,2.0,A1
191,113,Mekhala Brar,59.0,,A1
192,114,Azad Chander,24.0,1.0,A1
193,114,Ladli Purohit,27.0,2.0,A2
194,114,Daksh Andra,44.0,2.0,A3
195,114,Fitan Tata,,1.0,A4
196,115,Anika Batra,24.0,,A1
197,115,Avni Bali,19.0,2.0,A2
198,115,Divya Babu,40.0,1.0,A3
199,116,Leena Dey,44.0,1.0,A1
200,117,Faqid Oak,57.0,1.0,A1
201,118,Ishani Prashad,,2.0,A1
202,118,Quincy Rai,56.0,2.0,A2
203,118,Chakrika Koshy,70.0,,A3
204,119,Edhitha Patel,55.0,1.0,A1
205,120,Odika Rama,16.0,1.0,A1
206,120,Xavier Verma,30.0,1.0,A2
207,120,Lajita Gara,53.0,,A3
208,121,Tanvi Chhabra,66.0,2.0,A1
209,121,Daksha Ahuja,41.0,,A2
210,122,Laban Mital,66.0,1.0,A1
211,123,Bishakha Swaminathan,23.0,,A1
212,124,Ryan Gole,52.0,1.0,A1
213,124,Triya Kadakia,15.0,1.0,A2
214,125,Pallavi Purohit,35.0,,A1
215,125,Saumya Srinivas,44.0,2.0,A2
216,125,Yashawini Sahota,18.0,3.0,A3
217,125,Jagvi Yadav,45.0,2.0,A4
218,126,Advaith Chaudhari,16.0,2.0,A1
219,127,Ubika Tella,48.0,1.0,A1
220,128,Frederick D’Alia,48.0,1.0,A1
221,128,Ijaya Muni,54.0,1.0,A2
222,128,Tamanna Jhaveri,61.0,1.0,A3
223,129,Ekalinga Mital,67.0,1.0,A1
224,129,Ishwar Bajaj,,2.0,A2
225,130,Vincent Ravel,22.0,1.0,A1
226,130,Quincy Sankaran,33.0,3.0,A2
227,131,Vrishti Wable,52.0,1.0,A1
228,132,Orinder Mishra,55.0,1.0,A1
229,132,Krish Munshi,18.0,,A2
230,132,William Mody,42.0,2.0,A3
231,133,Lakshit Rajagopal,64.0,2.0,A1
232,134,Shravya Bera,26.0,2.0,A1
233,135,Nilima Swamy,42.0,1.0,A1
234,135,Sachi Suresh,36.0,2.0,A2
235,135,Fitan Balasubramanian,17.0,2.0,A3
236,135,Brinda Bali,16.0,1.0,A4
237,136,Amrita Peri,43.0,1.0,A1
238,137,Bachittar Sengupta,,1.0,A1
239,138,Indali Sangha,53.0,2.0,A1
240,139,Krishna Sabharwal,37.0,2.0,A1
241,140,Yug Ramaswamy,,,A1
242,140,Lucky Luthra,63.0,1.0,A2
243,140,Keya Seth,65.0,1.0,A3
244,141,Falak Agate,34.0,2.0,A1
245,142,Ekantika Mander,,1.0,A1
246,142,Kalpit Sundaram,38.0,2.0,A2
247,143,Nakul Sastry,17.0,2.0,A1
248,144,Anusha Chander,,1.0,A1
249,144,Zashil Butala,21.0,1.0,A2
250,145,Gavin Chandran,63.0,2.0,A1
251,145,Tanay Sood,19.0,2.0,A2
252,146,Jai Sami,,1.0,A1
253,146,Vanya Bobal,60.0,,A2
254,146,Leela Chakraborty,,1.0,A3
255,146,Harshil Munshi,41.0,1.0,A4
256,147,Indali Kala,,1.0,A1
257,148,Jatin Rajagopalan,56.0,2.0,A1
258,149,Yuvraj Mane,61.0,2.0,A1
259,149,Charvi Jha,50.0,1.0,A2
260,149,Manya Merchant,31.0,,A3
261,150,Ekavir Wable,33.0,1.0,A1
262,150,Jalsa Nadig,41.0,2.0,A2
263,151,Adweta Kale,58.0,2.0,A1
264,152,Neelima Butala,65.0,2.0,A1
265,152,Arunima Chacko,41.0,,A2
266,153,Yash Chadha,45.0,2.0,A1
267,154,Advik Devan,44.0,,A1
268,154,Nihal Taneja,44.0,1.0,A2
269,155,Jacob Balan,19.0,2.0,A1
270,155,Pushti Magar,23.0,2.0,A2
271,156,Christopher Tata,27.0,2.0,A1
272,157,Yashodhara Agate,70.0,1.0,A1
273,158,Mason Gola,67.0,1.0,A1
274,158,Oni Kapur,33.0,1.0,A2
275,158,Yuvraj Saha,39.0,1.0,A3
276,159,Praneel Kapoor,60.0,2.0,A1
277,160,Jyoti Iyer,45.0,1.0,A1
278,161,Yatan Dora,15.0,1.0,A1
279,162,Oni Swamy,39.0,2.0,A1
280,163,Meera Borde,62.0,1.0,A1
281,163,Radhika De,55.0,1.0,A2
282,164,Falan Jain,36.0,1.0,A1
283,165,Dipta Ray,68.0,2.0,A1
284,165,Ishita Johal,35.0,1.0,A2
285,166,Daksha Baria,28.0,1.0,A1
286,166,Falak Divan,39.0,2.0,A2
287,166,Yuvraj Parekh,52.0,2.0,A3
288,167,Nidhi Sethi,26.0,1.0,A1
289,167,Girindra Shere,67.0,,A2
290,168,Rudra Rattan,26.0,1.0,A1
291,169,Sachi Dave,54.0,1.0,A1
292,169,Garima Das,55.0,2.0,A2
293,169,Triya Bedi,48.0,2.0,A3
294,170,Nisha Srinivas,59.0,1.0,A1
295,171,Ishita Kaul,29.0,1.0,A1
296,172,Oscar Goda,31.0,3.0,A1
297,173,Waida More,,1.0,A1
298,173,Vritti Barad,,1.0,A2
299,173,Daksh Kaul,32.0,2.0,A3
300,173,Anmol Vyas,69.0,1.0,A4
301,174,Ekiya Bhargava,22.0,1.0,A1
302,174,Manbir Dhar,22.0,2.0,A2
303,175,Edhitha Ghosh,22.0,2.0,A1
304,175,Udant Gill,36.0,,A2
305,176,Bachittar Gopal,,2.0,A1
306,177,Sanya Apte,37.0,2.0,A1
307,177,Shaurya Krish,,1.0,A2
308,178,Raksha Saini,40.0,2.0,A1
309,178,Odika Tailor,59.0,1.0,A2
310,178,Indali Prashad,,2.0,A3
311,178,Varenya Kar,21.0,2.0,A4
312,179,Advika Cheema,60.0,1.0,A1
313,180,Raagini Gala,67.0,1.0,A1
314,180,Naksh Bera,37.0,2.0,A2
315,180,Garima Jha,45.0,1.0,A3
316,181,Gopal Bawa,65.0,1.0,A1
317,181,Vritti Dube,,1.0,A2
318,181,Jalsa Aggarwal,26.0,1.0,A3
319,181,Gagan Menon,50.0,2.0,A4
320,182,Adya Sarraf,,2.0,A1
321,183,Frederick Padmanabhan,,3.0,A1
322,184,Farhan Rana,,3.0,A1
323,185,Farhan Saran,69.0,1.0,A1
324,186,Mekhala Nanda,33.0,1.0,A1
325,187,Maanas Ratti,19.0,2.0,A1
326,188,Kashish Bahri,34.0,2.0,A1
327,188,Chavvi Mukhopadhyay,29.0,1.0,A2
328,189,Ekani Luthra,20.0,2.0,A1
329,189,Gaurav Guha,42.0,,A2
330,189,Siddharth Ray,55.0,2.0,A3
331,189,Zaitra Prakash,40.0,2.0,A4
332,190,Krishna Viswanathan,69.0,1.0,A1
333,190,Oscar Hans,43.0,2.0,A2
334,191,Rushil Mahal,23.0,2.0,A1
335,191,Ucchal Tiwari,62.0,2.0,A2
336,192,Amruta Rout,,2.0,A1
337,193,Pallavi Puri,29.0,2.0,A1
338,194,Netra Nagarajan,,2.0,A1
339,195,Hemal Kapadia,23.0,1.0,A1
340,195,Jagrati Tripathi,57.0,2.0,A2
341,195,Onkar Golla,63.0,2.0,A3
342,196,Gaurav Kapadia,51.0,2.0,A1
343,196,Udant Mohanty,32.0,,A2
344,196,Garima Prabhu,48.0,2.0,A3
345,197,Urmi Hayer,52.0,2.0,A1
346,198,Laksh Iyer,19.0,1.0,A1
347,198,Nimrat Shankar,26.0,,A2
348,199,Dhriti Bhardwaj,46.0,2.0,A1
349,199,Siya Mahal,60.0,1.0,A2
350,199,Om Dutt,56.0,1.0,A3
351,200,Baljiwan Walla,,1.0,A1
352,201,Devika Dayal,68.0,1.0,A1
353,202,Chanchal Mannan,,1.0,A1
354,203,Vedant Kapur,62.0,2.0,A1
355,204,Chanakya D’Alia,17.0,2.0,A1
356,205,Osha Chaudhuri,16.0,1.0,A1
357,206,Ishaan Cherian,54.0,3.0,A1
358,207,Watika Johal,18.0,1.0,A1
359,208,Wakeeta Dixit,,2.0,A1
360,208,Yasti Borde,39.0,,A2
361,209,Chandresh Chaudhry,43.0,1.0,A1
362,209,Balveer Mannan,42.0,1.0,A2
363,210,Lakshit Garde,27.0,2.0,A1
364,210,Ishita Sarma,30.0,1.0,A2
365,211,Lekha Sridhar,52.0,2.0,A1
366,212,Pratyush Raghavan,18.0,,A1
367,213,Advika Murthy,,2.0,A1
368,214,Chatura Apte,57.0,2.0,A1
369,215,Tripti Sawhney,,2.0,A1
370,216,Gavin Modi,62.0,2.0,A1
371,217,Garima Solanki,25.0,2.0,A1
372,217,Sneha Comar,32.0,1.0,A2
373,217,Tristan Agate,68.0,1.0,A3
374,217,Isha Manne,37.0,2.0,A4
375,218,Hredhaan Kumar,26.0,1.0,A1
376,218,Raghav Dara,64.0,2.0,A2
377,219,Lila Nagy,58.0,1.0,A1
378,219,Omya Kothari,36.0,2.0,A2
379,220,Nitara Vala,41.0,2.0,A1
380,220,Dipta Kalla,38.0,2.0,A2
381,221,Jack Pandey,26.0,2.0,A1
382,221,Omisha Walla,56.0,2.0,A2
383,222,Chatresh Bhalla,17.0,3.0,A1
384,223,Chakrika Jani,63.0,1.0,A1
385,223,Jagrati Sethi,27.0,1.0,A2
386,224,Dhriti Bhagat,54.0,1.0,A1
387,225,Rishi Menon,27.0,1.0,A1
388,225,Peter Borde,32.0,2.0,A2
389,225,Oscar Varkey,54.0,2.0,A3
390,225,Krishna Baria,56.0,1.0,A4
391,226,Ganga Shukla,33.0,2.0,A1
392,227,Ishita Bora,27.0,2.0,A1
393,228,Netra Chanda,,1.0,A1
394,228,Timothy Kala,48.0,2.0,A2
395,229,Sanaya Khosla,,1.0,A1
396,230,Barkha Bakshi,15.0,1.0,A1
397,230,Yoshita Trivedi,31.0,1.0,A2
398,230,Vidhi Bassi,22.0,2.0,A3
399,231,Panini Chawla,,3.0,A1
400,232,Baljiwan Chahal,66.0,2.0,A1
401,233,Nikita Rama,46.0,1.0,A1
402,233,Nidhi Sant,47.0,2.0,A2
403,233,Anay Ramachandran,22.0,1.0,A3
404,234,Baghyawati Sarma,64.0,1.0,A1
405,235,Laban Raman,31.0,2.0,A1
406,236,Benjamin Ahluwalia,31.0,2.0,A1
407,237,Yauvani Dhar,26.0,1.0,A1
408,238,Chatura Shenoy,38.0,1.0,A1
409,238,Bina Bhavsar,56.0,2.0,A2
410,239,Wahab Chaudhry,58.0,1.0,A1
411,239,Ekaraj Hari,48.0,2.0,A2
412,239,Vedika Seshadri,64.0,2.0,A3
413,239,Damini Dua,,2.0,A4
414,240,Timothy Sarin,47.0,1.0,A1
415,241,Jagrati Mody,35.0,2.0,A1
416,241,Ikbal Gill,36.0,2.0,A2
417,242,Anirudh Tripathi,70.0,,A1
418,243,Udant Mannan,,2.0,A1
419,243,Ucchal Thaker,44.0,1.0,A2
420,244,Sanaya Dutta,56.0,1.0,A1
421,244,Madhav Sule,35.0,2.0,A2
422,245,Kala Kaur,49.0,1.0,A1
423,245,Samuel Vasa,61.0,1.0,A2
424,246,Harshil Verma,40.0,2.0,A1
425,247,Zansi Krishnamurthy,57.0,1.0,A1
426,247,Udant Varty,49.0,1.0,A2
427,247,Ira Pai,33.0,1.0,A3
428,248,Faraj Varkey,28.0,1.0,A1
429,248,Siddharth Doctor,29.0,1.0,A2
430,248,Nakul Pathak,18.0,2.0,A3
431,249,Varenya Kade,,1.0,A1
432,249,Nirja Bains,53.0,1.0,A2
433,250,Manan Bhalla,48.0,2.0,A1
434,251,Tarak Sen,23.0,1.0,A1
435,252,Girik Subramaniam,37.0,1.0,A1
436,253,Inaya Chaudhari,44.0,1.0,A1
437,254,Nilima Kurian,16.0,2.0,A1
438,255,Vasudha Gola,22.0,,A1
439,255,Veda Kulkarni,,2.0,A2
440,255,Hemangini Rao,61.0,2.0,A3
441,255,Jagat Karpe,54.0,1.0,A4
442,256,Charles Dyal,51.0,1.0,A1
443,257,Devansh Lall,51.0,2.0,A1
444,258,Dakshesh Gill,37.0,2.0,A1
445,258,Reva Anne,57.0,2.0,A2
446,259,Omkaar Banik,23.0,2.0,A1
447,260,Ira Rana,45.0,3.0,A1
448,261,Niharika Toor,15.0,1.0,A1
449,261,Elijah Thakur,35.0,2.0,A2
450,262,Vasatika Dada,17.0,1.0,A1
451,263,Ira Varty,27.0,2.0,A1
452,264,Faqid Gokhale,26.0,1.0,A1
453,264,Dipta Pandya,26.0,1.0,A2
454,265,Veer Jain,51.0,2.0,A1
455,265,Ishani Dugal,53.0,,A2
456,266,Kamya Murty,36.0,2.0,A1
457,266,Anvi Swaminathan,30.0,3.0,A2
458,266,Yasti Mammen,70.0,,A3
459,267,Yadavi Palan,,1.0,A1
460,268,Abhiram Arora,58.0,2.0,A1
461,269,Adya Khalsa,,2.0,A1
462,270,Janya Rattan,25.0,2.0,A1
463,271,Warinder Sankaran,65.0,1.0,A1
464,272,Oviya Tata,,2.0,A1
465,272,Zansi Walla,,1.0,A2
466,272,Vidhi Mital,,2.0,A3
467,273,Aachal Soni,,2.0,A1
468,274,Hemangini Bahri,63.0,2.0,A1
469,274,Jairaj Panchal,15.0,3.0,A2
470,274,Owen Mane,22.0,2.0,A3
471,274,Ekta Uppal,68.0,2.0,A4
472,275,Shravya Sachdev,64.0,2.0,A1
473,275,Qarin Bajaj,61.0,1.0,A2
474,275,Wahab Krishnamurthy,39.0,1.0,A3
475,276,Hemang Lala,52.0,1.0,A1
476,277,Saanvi Date,66.0,1.0,A1
477,278,Unni Zachariah,38.0,2.0,A1
478,279,Idika Subramaniam,53.0,2.0,A1
479,280,Nachiket Mitter,15.0,1.0,A1
480,280,Aadi Virk,40.0,3.0,A2
481,281,Chandani Andra,,2.0,A1
482,281,Brinda Kashyap,41.0,1.0,A2
483,282,Nihal Ramakrishnan,57.0,1.0,A1
484,282,Thomas Lall,52.0,1.0,A2
485,283,Nitara Guha,56.0,2.0,A1
486,284,Anita Swamy,19.0,2.0,A1
487,285,Quincy Chaudry,20.0,1.0,A1
488,286,Matthew Aurora,17.0,2.0,A1
489,287,Ubika Balay,60.0,1.0,A1
490,288,Zashil Raj,57.0,2.0,A1
491,288,Jairaj Kothari,32.0,2.0,A2
492,289,Sathvik Solanki,17.0,3.0,A1
493,289,Devika Naidu,20.0,2.0,A2
494,290,Rushil Patel,26.0,1.0,A1
495,290,Tejas Chowdhury,64.0,2.0,A2
496,291,Kamya Chakraborty,47.0,2.0,A1
497,291,Nakul Tata,66.0,2.0,A2
498,292,Jeremiah Sura,62.0,2.0,A1
499,293,Ishita Desai,57.0,1.0,A1
500,294,Rachit Pall,64.0,1.0,A1
501,294,Upadhriti Maharaj,41.0,1.0,A2
502,295,Jeevika Setty,64.0,1.0,A1
503,296,Ekani Bhatnagar,66.0,1.0,A1
504,297,Gopal Virk,23.0,2.0,A1
505,297,Caleb Dayal,,1.0,A2
506,298,Azad Rama,53.0,,A1
507,298,Aahana Bawa,45.0,1.0,A2
508,299,Ojasvi Pillay,,1.0,A1
509,300,Ranveer Hans,50.0,2.0,A1
510,300,Praneel Sagar,26.0,1.0,A2
511,301,Indira Murty,31.0,,A1
512,301,Kamya Sachar,59.0,2.0,A2
513,302,Sneha Sem,33.0,2.0,A1
514,303,Chasmum Ahuja,33.0,2.0,A1
515,303,Tristan Kala,,2.0,A2
516,304,Ishani Dugal,39.0,2.0,A1
517,305,George Ratta,28.0,,A1
518,306,Ijaya Saraf,59.0,1.0,A1
519,306,Jai Karan,41.0,,A2
520,306,Lavanya Bhagat,15.0,1.0,A3
521,307,Michael Bedi,19.0,3.0,A1
522,308,Gayathri Butala,41.0,,A1
523,308,Chandran Rastogi,29.0,2.0,A2
524,308,Frederick Rastogi,69.0,,A3
525,309,Xavier Bora,68.0,1.0,A1
526,310,Jasmit Pall,67.0,2.0,A1
527,311,Riya Dhingra,,3.0,A1
528,312,Isaiah Bhagat,43.0,1.0,A1
529,313,Shivani Sinha,55.0,2.0,A1
530,314,Vasudha Dhaliwal,56.0,2.0,A1
531,314,Krisha Vyas,32.0,2.0,A2
532,315,Chatresh Shroff,64.0,1.0,A1
533,315,Ekalinga Rama,35.0,,A2
534,315,Jagvi Chokshi,40.0,1.0,A3
535,315,Brinda Raju,61.0,1.0,A4
536,316,Quincy Issac,69.0,1.0,A1
537,317,Idika Pandey,,2.0,A1
538,318,Max Om,68.0,1.0,A1
539,319,Forum Sen,33.0,,A1
540,319,Samuel Devi,16.0,1.0,A2
541,319,Lakshit More,31.0,2.0,A3
542,320,Qarin Nadkarni,27.0,2.0,A1
543,321,Anusha Doshi,37.0,2.0,A1
544,321,Hredhaan Deep,30.0,2.0,A2
545,321,Atharv Loke,40.0,2.0,A3
546,321,Vincent Kashyap,17.0,,A4
547,322,Vyanjana Som,48.0,2.0,A1
548,322,Nihal Hans,35.0,1.0,A2
549,323,Samaksh Jayaraman,60.0,1.0,A1
550,323,Peter Sarna,,1.0,A2
551,324,Lajita Munshi,67.0,1.0,A1
552,325,Balveer Ram,25.0,,A1
553,326,Chaitaly Bhagat,18.0,2.0,A1
554,326,Ubika Seth,34.0,2.0,A2
555,327,Ekiya Seshadri,32.0,2.0,A1
556,327,Praneel Setty,17.0,1.0,A2
557,327,Suhani Chana,,2.0,A3
558,328,Janani Chada,38.0,2.0,A1
559,328,Yasti Dutta,15.0,1.0,A2
560,328,Lajita Bassi,24.0,1.0,A3
561,329,Oni Morar,40.0,,A1
562,329,Sanaya Mani,59.0,1.0,A2
563,330,Abdul Tak,62.0,1.0,A1
564,331,Sarthak Bawa,,1.0,A1
565,331,Manbir Bhakta,58.0,2.0,A2
566,332,Pranav Edwin,62.0,1.0,A1
567,332,Peter Shah,19.0,,A2
568,333,Ekansh Sane,25.0,2.0,A1
569,333,Brinda Sinha,56.0,2.0,A2
570,334,Shaurya Bhardwaj,45.0,2.0,A1
571,335,Irya Dayal,22.0,1.0,A1
572,335,Zinal Tank,25.0,2.0,A2
573,335,Pranit Kaul,26.0,2.0,A3
574,335,Rishi Agarwal,,2.0,A4
575,336,Chakradev Nath,58.0,1.0,A1
576,337,Abeer Comar,38.0,1.0,A1
577,338,Hamsini Srinivas,56.0,1.0,A1
578,339,Turvi Sachdev,,2.0,A1
579,340,Dominic Dixit,24.0,,A1
580,340,Azaan Nori,37.0,2.0,A2
581,340,Noah Ramachandran,25.0,2.0,A3
582,341,Kamya Seth,22.0,1.0,A1
583,341,Tarak Vohra,62.0,,A2
584,342,Vasudha Tella,,1.0,A1
585,342,Ranveer Oak,21.0,2.0,A2
586,343,Samesh Bansal,64.0,2.0,A1
587,343,Lila Vig,70.0,2.0,A2
588,343,Aayush Mukhopadhyay,54.0,1.0,A3
589,344,Arin Muni,41.0,2.0,A1
590,344,Ekani Iyer,27.0,1.0,A2
591,345,Manthan Dugar,68.0,2.0,A1
592,346,Anika Dhaliwal,,2.0,A1
593,346,Yash Garg,51.0,2.0,A2
594,346,Deepa Nigam,,1.0,A3
595,347,Leela Bhagat,,1.0,A1
596,348,Upadhriti Chatterjee,48.0,1.0,A1
