VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
57,44,Ranveer Das,51.0,1.0,1
58,45,Ishita Khanna,,1.0,0
59,45,Amol Ghosh,32.0,,0
60,46,Saumya Pathak,67.0,2.0,0
61,47,Tara Balasubramanian,55.0,2.0,0
62,48,Manbir Bhatti,2.0,1.0,0
63,48,Anvi Nair,20.0,2.0,0
64,49,Qushi Seth,81.0,2.0,0
65,50,Aadhya Prasad,18.0,2.0,0
66,50,Urvi Bhavsar,41.0,,0
67,51,Hritik Palla,51.0,1.0,0
68,52,Ekaraj Dhar,81.0,2.0,0
69,53,Harita Dugar,3.0,1.0,0
70,53,Devika Nair,51.0,1.0,0
71,54,Chakradev Kannan,26.0,1.0,0
72,55,Anirudh Sharaf,,,0
73,55,Dhriti Sanghvi,45.0,1.0,0
74,56,Onveer Sharma,42.0,2.0,0
75,57,Harinakshi Kant,,1.0,0
76,57,Om Bose,57.0,2.0,0
77,58,Ucchal Sen,73.0,1.0,0
78,59,Chavvi Maharaj,77.0,3.0,0
79,59,Indira Tripathi,4.0,1.0,1
80,59,Dayita Shenoy,63.0,1.0,0
81,60,Lila Rege,11.0,2.0,0
82,61,Bhanumati Krishnan,79.0,1.0,0
83,61,Gauri Bumb,48.0,2.0,0
84,61,Inaya Mukherjee,60.0,,0
85,62,Andrew Patil,6.0,2.0,1
86,63,Mitesh Gaba,32.0,1.0,0
87,63,Noah Sarma,31.0,1.0,0
88,64,Vivaan Walla,70.0,1.0,0
89,65,Baghyawati Raja,,1.0,0
90,65,Neel Iyengar,17.0,2.0,0
91,65,Zashil Ben,82.0,2.0,1
92,66,Warinder Raju,15.0,2.0,0
93,66,Kavya Kapur,32.0,1.0,0
94,66,Eiravati Chaudhary,,2.0,0
95,67,Upasna Sen,,1.0,0
96,68,Ira Khosla,46.0,1.0,0
97,69,Madhavi Singhal,72.0,1.0,0
98,70,Gaurangi Deol,,2.0,0
99,70,Indira Nigam,76.0,3.0,0
100,71,Garima Mahajan,75.0,1.0,1
101,71,Jhalak Sarkar,9.0,2.0,0
102,72,Sanya Basak,,2.0,0
103,72,Radhika Maharaj,55.0,1.0,0
104,73,Jonathan Bhavsar,35.0,1.0,0
105,74,Kamala Prabhu,20.0,2.0,0
106,74,Faraj Devan,51.0,2.0,0
107,75,Quincy Tata,,1.0,0
108,75,Jacob Lala,26.0,2.0,1
109,75,Sanaya Kala,42.0,1.0,1
110,76,Orinder Saxena,70.0,2.0,0
111,77,Varenya Vora,84.0,1.0,0
112,78,Jeet Vasa,35.0,1.0,1
113,79,Zilmil Mander,57.0,2.0,0
114,80,Yadavi Ganguly,,1.0,0
115,81,Nidra Mishra,76.0,1.0,0
116,82,Amara Sengupta,19.0,2.0,0
117,82,Lohit Chatterjee,23.0,1.0,0
118,83,Wishi Morar,44.0,1.0,0
119,84,Aishani Pau,48.0,2.0,0
120,85,Yashodhara Ratti,28.0,2.0,0
121,86,Manthan Varma,71.0,1.0,0
122,87,Azad Choudhary,60.0,,0
123,88,Samar Roy,22.0,1.0,0
124,88,David Devi,71.0,2.0,0
125,89,Bhavna Brar,68.0,1.0,0
126,90,Anita Devan,70.0,,0
127,91,Harish Sachdev,31.0,2.0,0
128,92,Vamakshi Sood,5.0,2.0,0
129,92,Bhavna Nagi,65.0,2.0,0
130,93,Baljiwan Andra,2.0,2.0,0
131,94,Krish Thaman,12.0,2.0,0
132,94,Anjali Hans,82.0,2.0,0
133,95,Parth Ravi,,2.0,0
134,96,Logan Sood,25.0,2.0,0
135,96,Yuvraj Ahuja,21.0,1.0,0
136,97,Advay Lal,32.0,1.0,0
137,97,Warinder Bhatia,60.0,1.0,0
138,98,Jacob Merchant,21.0,1.0,0
139,99,Zinal Sathe,5.0,1.0,0
140,100,Sudiksha Deo,85.0,,0
141,101,Elijah Bath,82.0,,0
142,102,Bhavini Rege,,1.0,0
143,103,Ijaya Dani,69.0,2.0,0
144,104,Harrison Bandi,64.0,1.0,0
145,105,Anvi Bhat,13.0,2.0,0
146,105,Prisha Tandon,32.0,2.0,0
147,106,Charita Puri,30.0,,1
148,107,Dalbir Sachar,21.0,2.0,0
149,107,Krish Rama,8.0,2.0,0
150,108,Balveer Bora,23.0,,0
151,108,Teerth Srinivas,77.0,1.0,0
152,109,Barkha Rai,5.0,2.0,0
153,110,Ekaja Jani,,2.0,0
154,111,Michael Hayre,58.0,1.0,0
155,112,Falan Bava,,2.0,0
156,112,Nitara Devan,4.0,,0
157,113,Zayyan Pandya,47.0,3.0,1
158,114,Upkaar Mital,16.0,1.0,0
159,115,Victor Kakar,84.0,,0
160,116,Chandani Gaba,31.0,2.0,0
161,116,Lopa Zachariah,85.0,1.0,0
162,117,Guneet Sarkar,44.0,1.0,1
163,118,Shravya Swaminathan,75.0,3.0,0
164,119,Lajita Dube,85.0,2.0,0
165,120,Lekha Arora,2.0,,0
166,121,Yatin Tandon,85.0,,0
167,122,Ria Natt,42.0,2.0,0
168,123,Peter Rao,,1.0,0
169,124,Maya Patla,3.0,2.0,0
170,125,Xalak Dewan,12.0,2.0,0
171,125,Wyatt Krishnan,1.0,1.0,1
172,126,Ojas Basu,9.0,2.0,0
173,126,Garima Sani,83.0,2.0,1
174,127,Sanaya Prasad,62.0,2.0,0
175,128,Henry Merchant,35.0,1.0,0
176,129,Raksha Sethi,15.0,1.0,0
177,130,Zaitra Ghosh,23.0,1.0,0
178,130,Ganga Sandhu,46.0,1.0,1
179,131,Jasmit Nanda,73.0,1.0,0
180,131,Tanvi Comar,19.0,2.0,0
181,132,Ijaya Pandey,59.0,,0
182,133,Yasti Rama,12.0,2.0,1
183,134,Ojas Suri,81.0,1.0,1
184,134,Logan Grover,8.0,2.0,0
185,135,Robert Rajagopalan,29.0,2.0,0
186,136,Om Shankar,,2.0,1
187,136,Yasti Chowdhury,83.0,1.0,1
188,137,Harsh Kota,62.0,2.0,0
189,138,Jacob Khalsa,41.0,2.0,0
190,139,Daniel Panchal,19.0,1.0,1
191,139,Om Naik,12.0,2.0,0
192,139,Bimala Loke,69.0,1.0,0
193,140,Zaid Dhingra,19.0,2.0,0
194,141,Jyoti Sha,73.0,2.0,1
195,142,Mitali Kamdar,65.0,1.0,0
196,142,Siddharth Talwar,85.0,2.0,0
197,143,Tripti Babu,60.0,1.0,0
198,144,Kevin Mittal,,2.0,0
199,145,Dalaja Kaur,,2.0,0
200,146,Aditya Anand,59.0,2.0,0
201,147,Kiaan Dhar,35.0,2.0,0
202,147,Abhiram Gala,,2.0,1
203,148,Gabriel Chaudhry,53.0,2.0,0
204,149,Yug Malhotra,63.0,1.0,0
205,150,Isaiah Khosla,,1.0,0
206,151,Orinder Sinha,41.0,2.0,1
207,151,Anay Bir,17.0,2.0,0
208,152,Yachana Sagar,64.0,2.0,0
209,153,Nachiket Yadav,45.0,1.0,0
210,153,Mahika Bhatti,72.0,1.0,1
211,153,Rajeshri Khare,59.0,1.0,1
212,154,Dayamai Gill,66.0,1.0,0
213,155,Kamya Date,15.0,1.0,0
214,156,Tamanna Vaidya,75.0,1.0,0
215,157,Harshil D’Alia,60.0,1.0,0
216,158,Urmi Patla,39.0,1.0,0
217,159,Jagdish Thakkar,,,0
218,160,Barkha Mukhopadhyay,34.0,1.0,0
219,160,Gabriel Shan,75.0,1.0,0
220,161,Jyoti Tak,64.0,1.0,0
221,162,Hiral Andra,,2.0,0
222,162,Aarav Puri,17.0,2.0,0
223,162,Hemang Jha,33.0,,1
224,163,Caleb Kata,25.0,,0
225,163,Kashish Shanker,21.0,1.0,0
226,163,Girish Tiwari,37.0,1.0,0
227,164,Maya Narain,31.0,2.0,0
228,164,Sneha Magar,,2.0,0
229,165,Nitesh Sengupta,44.0,1.0,0
230,166,Jagdish Chana,24.0,2.0,0
231,167,Abha Ghosh,16.0,2.0,0
232,168,David Kapadia,58.0,1.0,0
233,169,Anthony Bhattacharyya,72.0,1.0,0
234,170,Yatan Merchant,57.0,2.0,0
235,171,Avni Bhardwaj,,2.0,0
236,172,Amaira Walla,3.0,1.0,0
237,172,Theodore Rama,44.0,2.0,0
238,173,Indira Dhar,,2.0,0
239,174,Kalpit Oak,66.0,,1
240,175,Meghana Chaudhuri,9.0,2.0,0
241,175,Chasmum Naidu,28.0,1.0,0
242,175,Nakul Sarkar,42.0,1.0,0
243,176,Peter Agarwal,34.0,3.0,0
244,177,Lohit Narula,45.0,1.0,0
245,177,Wazir Palan,82.0,2.0,0
246,177,Oliver Chakrabarti,58.0,2.0,1
247,178,Aarav Bava,56.0,2.0,0
248,179,Chaitaly Bahri,19.0,2.0,0
249,180,Naveen Borde,,2.0,0
250,180,Hamsini Subramanian,67.0,2.0,0
251,181,Baghyawati Mishra,85.0,1.0,0
252,182,Rachit Sehgal,32.0,,0
253,183,David Dora,65.0,2.0,0
254,184,Omya Wason,57.0,1.0,0
255,184,Warinder Soni,73.0,1.0,0
256,185,Jai Sen,32.0,1.0,1
257,185,Oliver Kakar,83.0,2.0,0
258,185,Jonathan Basak,78.0,2.0,1
259,186,Ekalinga Chahal,13.0,3.0,0
260,187,Vedika Solanki,12.0,1.0,0
261,187,Orinder Majumdar,27.0,1.0,1
262,188,Chandran Soman,47.0,1.0,1
263,189,Krish Mital,62.0,2.0,0
264,190,Deepa Toor,74.0,2.0,0
265,191,Tanmayi Bedi,67.0,1.0,0
266,192,Timothy Kar,68.0,,1
267,193,Oscar Anand,27.0,1.0,0
268,193,Zayyan Mody,85.0,2.0,0
269,194,Zansi Khosla,75.0,1.0,0
270,195,Aashi Sahota,,1.0,0
271,195,Lipika Banik,8.0,1.0,0
272,196,Aarna Goswami,,1.0,0
273,197,Upma Bera,79.0,1.0,0
274,198,Odika Bhagat,47.0,2.0,0
275,199,Vinaya Natarajan,,1.0,1
276,200,Pushti Raval,42.0,,1
277,200,Vansha Rajagopal,,1.0,0
278,201,Rayaan Badami,17.0,2.0,1
279,201,Yuvraj Kara,6.0,2.0,0
280,202,Oliver Bhattacharyya,28.0,1.0,0
281,203,Radha Desai,,2.0,0
282,203,Vrishti Parmer,47.0,2.0,0
283,203,Nitesh Raval,13.0,2.0,0
284,204,Jatin Peri,49.0,,0
285,204,Keya Kumer,58.0,2.0,0
286,204,Chanakya Chokshi,62.0,2.0,0
287,205,Zayyan Som,80.0,1.0,0
288,205,Samesh Andra,71.0,1.0,0
289,206,Yasti Dalal,22.0,1.0,0
290,207,Saksham Parmar,67.0,1.0,0
291,207,Chakrika Dyal,64.0,2.0,0
292,208,Agastya Chakraborty,31.0,2.0,0
293,209,Chaman Lalla,83.0,,0
294,210,Girish Bath,62.0,1.0,0
295,211,Qadim Comar,2.0,1.0,0
296,211,Mugdha Shan,23.0,2.0,0
297,212,Daniel Dutta,7.0,1.0,0
298,212,Omaja Subramanian,,,0
299,213,Vinaya Chowdhury,63.0,1.0,0
300,213,Ridhi Batra,35.0,2.0,0
301,214,Rachita Kothari,2.0,2.0,0
302,214,Hiral Rajan,38.0,1.0,1
303,215,Neha Keer,38.0,1.0,1
304,216,Diya Dani,,1.0,0
305,216,Andrew Chauhan,29.0,2.0,0
306,216,Nitara Banik,74.0,1.0,0
307,217,Chatura Kapoor,42.0,2.0,0
308,218,Waida Dey,,2.0,0
309,219,Oscar Dave,,1.0,0
310,220,Sneha Deol,45.0,3.0,0
311,221,Kevin Gokhale,20.0,1.0,0
312,222,Aryan Raj,32.0,1.0,0
313,223,Zashil Dhingra,56.0,1.0,0
314,224,Yasti Mani,31.0,1.0,0
315,224,Lakshmi Ram,62.0,1.0,0
316,225,Umang Pillai,53.0,1.0,0
317,226,Naveen Kumer,73.0,2.0,0
318,227,Charan Mitra,81.0,2.0,0
319,228,Yashasvi Dutta,53.0,1.0,0
320,229,Tejas Wali,59.0,1.0,0
321,229,Aditya Contractor,69.0,1.0,0
322,230,Ishaan Raju,77.0,1.0,0
323,231,Gopal Ganesh,61.0,1.0,0
324,231,Dominic Kade,,1.0,0
325,232,Arjun Sharaf,,1.0,0
326,233,Ekavir Kari,,2.0,0
327,234,Elijah Parmar,,2.0,1
328,234,Bimala Mitra,40.0,2.0,0
329,235,Naksh Walla,63.0,1.0,0
330,236,Advay Dhaliwal,58.0,1.0,0
331,237,Hemangini Kakar,82.0,3.0,0
332,238,Rishi Contractor,25.0,2.0,0
333,239,Ganga Parikh,,1.0,1
334,240,Aayush Munshi,,2.0,0
335,241,Varsha Shere,47.0,1.0,0
336,242,Adya Bose,53.0,,0
337,243,Abha Zacharia,76.0,2.0,0
338,243,Manthan Pau,72.0,1.0,1
339,244,William Gandhi,,3.0,0
340,245,Vincent Bhatnagar,81.0,1.0,1
341,246,Chakradhar Baral,,2.0,0
342,247,Kritika Pau,44.0,1.0,0
343,248,Ria Gandhi,32.0,2.0,0
344,249,Ishaan Subramaniam,24.0,,1
345,250,Krish Vala,69.0,2.0,0
346,251,Anirudh Mander,18.0,1.0,0
347,252,Samaksh Virk,77.0,3.0,0
348,252,Mason Char,60.0,1.0,0
349,252,Vamakshi Barad,18.0,1.0,1
350,253,Kamala Bassi,25.0,,0
351,253,Veer Subramaniam,,2.0,0
352,254,Viraj Chacko,7.0,1.0,0
353,255,Mekhala Jani,,2.0,0
354,256,Yashoda Rattan,28.0,1.0,0
355,257,Urishilla Saran,52.0,1.0,0
356,258,Leena Rattan,30.0,,0
357,259,Bahadurjit Uppal,79.0,,0
358,260,Gabriel Majumdar,,1.0,0
359,261,Aayush Lal,39.0,2.0,0
360,262,Zashil Savant,71.0,1.0,1
361,262,Veda Kohli,,1.0,0
362,262,Tara Sharma,40.0,1.0,1
363,263,Victor Mutti,10.0,2.0,0
364,264,Girik Rastogi,34.0,1.0,0
365,265,Wishi Iyengar,,1.0,0
366,265,Wyatt Lanka,78.0,1.0,0
367,266,Abeer Basak,,2.0,1
368,267,Pallavi Sridhar,68.0,1.0,0
369,268,Zarna Sharma,41.0,,0
370,269,Janaki Lad,83.0,1.0,0
371,270,Qarin Tara,72.0,1.0,0
372,270,Shivansh Saini,75.0,2.0,1
373,271,Veer Chaudhry,84.0,2.0,0
374,272,Urvashi Andra,45.0,2.0,0
375,273,Nihal Bhasin,28.0,2.0,0
376,274,Jalsa Parsa,64.0,1.0,0
377,275,Vedant Murthy,,2.0,0
378,275,Bishakha Loke,49.0,2.0,0
379,275,Anika Saxena,54.0,2.0,0
380,276,Harshil Chandran,45.0,1.0,1
381,276,Urvashi Bhagat,51.0,1.0,0
382,276,Mekhala Viswanathan,53.0,1.0,0
383,277,Veer Kota,50.0,,0
384,278,Ishanvi Nanda,73.0,1.0,0
385,279,Tanmayi Saran,59.0,1.0,0
386,280,Jasmit Sachar,53.0,,0
387,281,Abhiram Swamy,42.0,2.0,0
388,282,Rajeshri Rana,,1.0,0
389,283,Bhavani Wali,,1.0,1
390,284,Indrajit Shah,,1.0,0
391,285,Chandran Warrior,10.0,1.0,0
392,286,Abhiram Kaul,45.0,2.0,0
393,287,Devika Tara,44.0,1.0,1
394,288,Amaira Ramanathan,43.0,2.0,0
395,288,Upma Golla,,1.0,1
396,289,Rushil Sharma,,1.0,0
397,290,Zehaan Srivastava,45.0,,0
398,291,Oliver Majumdar,65.0,1.0,1
399,291,Meghana Kibe,,1.0,0
400,291,Brijesh Soman,82.0,2.0,0
401,292,Ishani Dube,,3.0,0
402,293,Reyansh Bail,23.0,1.0,0
403,294,Chaitaly Suri,47.0,1.0,0
404,295,Shivani Merchant,17.0,2.0,0
405,296,Anirudh Patla,24.0,1.0,0
406,297,Mitesh Mandal,19.0,2.0,0
407,297,Nimrat Nagy,,,0
408,298,Vedika Handa,,2.0,0
409,299,Sathvik Swamy,9.0,1.0,0
410,299,Upadhriti Bhat,15.0,1.0,1
411,300,Ekavir Modi,67.0,1.0,0
412,300,Tarak Venkataraman,9.0,1.0,0
413,300,Harrison Kashyap,,2.0,0
414,301,Hemang Ganesan,85.0,2.0,0
415,301,Neelima Thaman,,2.0,0
416,301,Nakul Walla,31.0,3.0,0
417,302,Keya Kumar,69.0,,0
418,303,Amol Vasa,83.0,2.0,0
419,304,Girindra Barad,7.0,2.0,0
420,305,Viraj Kunda,28.0,2.0,1
421,306,Oscar Sura,59.0,,0
422,306,Charita Barad,1.0,2.0,0
423,306,Farhan Bhalla,68.0,2.0,0
424,307,Eta Thakkar,59.0,2.0,0
425,308,Tristan Sankaran,24.0,1.0,0
426,308,Meera Divan,78.0,1.0,0
427,309,Rudra Sura,13.0,3.0,0
428,309,Rohan Viswanathan,78.0,1.0,0
429,310,Isaiah Sachdev,56.0,2.0,0
430,311,Dalaja Gara,,1.0,0
431,312,Kashvi Dugal,64.0,1.0,0
432,313,Hemal Choudhry,59.0,2.0,0
433,314,Samar Virk,77.0,2.0,0
434,315,Bhanumati Iyer,65.0,2.0,0
435,316,Diya Sundaram,47.0,1.0,0
436,317,Dalaja Nath,18.0,1.0,0
437,317,Maya Dugar,14.0,2.0,0
438,318,David Kurian,37.0,1.0,0
439,318,Ayushman Mammen,21.0,2.0,0
440,319,Utkarsh Sahni,79.0,2.0,1
441,319,Michael Sandhu,78.0,2.0,0
442,320,Eesha Bir,23.0,,1
443,321,Nisha Mitter,,,0
444,322,Krish Thakkar,1.0,2.0,0
445,322,Kashvi Gour,6.0,1.0,0
446,323,Anamika Sachar,62.0,2.0,0
447,324,Prisha Ravel,74.0,2.0,0
448,325,Siya Shan,9.0,1.0,0
449,325,Yatan Venkataraman,50.0,3.0,0
450,326,Mitali Modi,45.0,,0
451,326,Triya Ganesan,73.0,2.0,0
452,327,Krishna Ramaswamy,26.0,1.0,1
453,328,Gavin Comar,7.0,1.0,0
454,329,Maanav Gola,,1.0,0
455,330,Aarush Kulkarni,13.0,2.0,0
456,330,Tara Tank,,2.0,0
457,331,Nimrat Sathe,46.0,2.0,0
458,331,Abeer Konda,66.0,2.0,0
459,332,Chanchal Narula,71.0,2.0,0
460,332,Chandran Chopra,84.0,2.0,0
461,333,Ekantika Pillay,26.0,1.0,0
462,334,Odika Vohra,17.0,,0
463,335,Prisha Nadig,12.0,2.0,0
464,336,Sarthak Sachdeva,54.0,2.0,0
465,337,Baghyawati Kumar,44.0,2.0,0
466,337,Darika Mital,6.0,2.0,0
467,338,Parth Hari,57.0,1.0,0
468,339,Nachiket Sharma,,1.0,0
469,340,Sathvik Narula,72.0,1.0,0
470,341,Azad Magar,58.0,2.0,0
471,341,Gabriel Taneja,65.0,1.0,0
472,342,Baljiwan Jaggi,2.0,1.0,1
473,342,Sachi Toor,77.0,2.0,0
474,343,Guneet Varty,52.0,2.0,0
475,344,Chakradhar Chauhan,85.0,1.0,0
476,345,Ridhi Dalal,9.0,2.0,1
477,346,Samuel Palla,68.0,2.0,0
478,347,Urishilla Bedi,80.0,2.0,1
479,348,Sanaya Parekh,78.0,1.0,0
480,348,Gaurangi Hora,45.0,1.0,0
481,348,Udyati Deep,,2.0,0
482,349,Vincent Kapur,49.0,1.0,0
483,350,Indali Srinivas,55.0,2.0,0
484,351,Yagnesh Dutt,68.0,2.0,0
485,352,Hema Keer,18.0,1.0,0
486,353,Ladli Narang,60.0,2.0,0
487,354,Manthan Sethi,61.0,2.0,0
488,354,Madhavi Sekhon,,1.0,0
489,355,Gaurav Anand,,2.0,1
490,356,Meera Nadkarni,3.0,2.0,0
491,357,Liam Guha,70.0,1.0,0
492,358,Laban Chad,19.0,2.0,1
493,358,Ojasvi Shah,71.0,2.0,0
494,359,Upkaar Grewal,57.0,2.0,0
495,360,Jeevika Bandi,,1.0,0
496,360,Vasudha Pillay,65.0,1.0,0
497,361,Gaurang Korpal,39.0,2.0,0
498,362,Balendra Modi,,2.0,0
499,362,Darsh Solanki,64.0,1.0,0
500,362,Charan Manne,78.0,2.0,0
501,363,Matthew Sekhon,74.0,,0
502,364,Mitesh Tandon,,3.0,0
503,365,Charles Ganesh,7.0,1.0,1
504,366,Ladli Ramakrishnan,24.0,2.0,0
505,367,Lavanya Mutti,,2.0,0
506,367,Gunbir Wali,81.0,2.0,0
507,368,Pranit Munshi,57.0,2.0,0
508,368,Abhiram Bir,74.0,1.0,0
509,369,Dakshesh Kalla,66.0,2.0,0
510,370,Qarin Kulkarni,,1.0,1
511,370,Unni Borra,84.0,1.0,0
512,371,Lipika Natarajan,,2.0,0
513,372,Raagini Kamdar,45.0,,0
514,373,Widisha Dixit,48.0,1.0,0
515,373,Baljiwan Ramakrishnan,,,0
516,373,Max Narayan,,2.0,0
517,374,Aarush Rajagopalan,46.0,1.0,0
518,375,Christopher Chana,2.0,2.0,0
519,375,Harini Buch,,1.0,0
520,376,Chandani Ramakrishnan,3.0,1.0,0
521,377,Balendra Hans,52.0,2.0,1
522,378,Xalak Walla,71.0,1.0,0
523,379,Viraj Bora,36.0,1.0,0
524,380,Chandresh Mohanty,77.0,,0
525,380,Tanmayi Garde,51.0,1.0,0
526,380,Hitesh Comar,,2.0,0
527,381,Ekta Dara,25.0,1.0,0
528,381,Ekanta Kala,58.0,2.0,0
529,382,Krisha Dugar,75.0,1.0,0
530,382,Vidhi Buch,,1.0,0
531,382,Abhimanyu Gola,24.0,1.0,0
532,383,Anika Virk,68.0,1.0,0
533,384,Gaurang Mitra,48.0,2.0,1
534,385,Janaki Zacharia,55.0,1.0,0
535,386,Manthan Som,,,0
536,386,Patrick Dutta,,1.0,0
537,387,Gaurika Setty,78.0,1.0,0
538,388,Yutika D’Alia,82.0,1.0,0
539,388,Wahab Saxena,7.0,1.0,0
540,389,Vedant Chaudhari,62.0,2.0,0
541,389,Nitara Iyengar,78.0,1.0,0
542,390,Maanav Kalita,64.0,1.0,0
543,391,Gautami Datta,69.0,,1
544,392,Thomas Merchant,3.0,2.0,0
545,393,Tarak Solanki,82.0,1.0,0
546,394,Abdul Sahni,24.0,1.0,0
547,395,Kevin Parmer,,1.0,1
548,396,Tripti Bajwa,50.0,1.0,0
549,396,Ubika Devi,41.0,,0
550,396,Qasim Prabhakar,83.0,1.0,1
551,397,Sarthak Buch,18.0,1.0,0
552,397,Christopher Varma,,1.0,1
553,398,Jasmit Peri,74.0,1.0,0
554,399,Ekani Pandit,85.0,1.0,0
555,400,Hemani Sethi,,2.0,0
556,401,Siya Pillai,63.0,,0
557,402,Bhavya Bose,15.0,1.0,0
558,402,Nitesh Majumdar,43.0,1.0,0
559,403,Urvi Palan,,1.0,0
560,404,Nisha Oza,,2.0,0
561,405,Damini Garg,66.0,2.0,0
562,406,Neel Khanna,20.0,2.0,0
563,406,Benjamin Nadig,25.0,,0
564,407,Edhitha Padmanabhan,76.0,2.0,0
565,408,Tara Nagarajan,76.0,,0
566,408,Aayush Tripathi,39.0,3.0,1
567,409,Isaiah Srinivas,,1.0,0
568,409,Liam Dada,80.0,2.0,1
569,409,Aryan Ratti,,1.0,1
570,410,Gagan Vala,20.0,2.0,0
571,410,Robert Swaminathan,56.0,1.0,0
572,410,Yasti Bhalla,33.0,,0
573,411,Advik Mane,,1.0,1
574,412,Ojasvi Savant,21.0,,1
575,412,Nihal Samra,17.0,1.0,0
576,413,Gautami Bhatti,,2.0,0
577,413,Gaurang Ahuja,26.0,2.0,0
578,414,Quincy Raj,24.0,2.0,1
579,415,Udarsh Bala,83.0,1.0,0
580,416,Omisha Gola,,,1
581,417,Janaki Srivastava,28.0,1.0,0
582,417,Aarna Soni,29.0,1.0,0
583,417,Kashvi Vala,50.0,1.0,0
584,418,Chatresh Mahajan,21.0,1.0,0
585,418,Oni Parekh,50.0,2.0,1
586,419,Diya Mitra,6.0,,0
587,420,Zarna Manda,81.0,1.0,0
588,421,Mohammed Thakur,65.0,,1
589,421,Raghav Vora,76.0,1.0,0
590,421,Omisha Sharma,71.0,1.0,1
591,422,Hema Gera,5.0,1.0,0
592,423,Damyanti Dass,53.0,1.0,1
593,424,Veda Sankar,11.0,1.0,0
594,425,Jagat Kulkarni,78.0,1.0,0
595,426,Ryan Goyal,10.0,1.0,0
596,426,Ayush Chana,82.0,2.0,0
597,427,Akshay Wadhwa,60.0,2.0,0
598,428,Pratyush Pant,71.0,2.0,1
599,429,Jatin Shukla,,2.0,0
600,430,Jack Rajan,60.0,1.0,0
601,431,Vamakshi Pillai,11.0,,0
602,432,Jagdish Dhar,4.0,,1
603,433,Hamsini Iyer,58.0,2.0,0
604,434,Mugdha Parekh,36.0,2.0,1
605,434,Nidhi Sundaram,,2.0,0
606,434,Manan Sha,28.0,2.0,0
607,435,Praneel Raja,54.0,2.0,0
608,435,Michael Mitter,47.0,,0
609,436,Hemal Zachariah,76.0,1.0,0
610,436,Azad Sani,8.0,1.0,1
611,437,Chavvi Gala,44.0,1.0,0
612,438,Vritti Zacharia,,1.0,0
613,439,Ikshita Bala,46.0,2.0,0
614,440,Indali Bhalla,71.0,1.0,0
615,441,Anmol Yohannan,18.0,2.0,0
616,442,Ekantika Chaudhari,76.0,1.0,0
617,442,Harish Jha,82.0,1.0,0
618,443,Faqid Wason,36.0,1.0,1
619,444,Anjali Bhavsar,,1.0,0
620,445,Zayan Varma,75.0,1.0,1
621,446,Amrita Walia,61.0,1.0,1
622,446,Darpan Vig,,2.0,0
623,447,Devansh Jani,18.0,2.0,0
624,448,William Comar,26.0,1.0,0
625,449,Rajata Sami,,1.0,0
