EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
33,12,30,1,2,KA14018,Faris Narasimhan,1991-11-11,2,4,1,2020-12-11
34,14,29,1,1,KA64524,Barkha Misra,1979-09-30,2,4,0,2006-03-15
35,1,28,5,4,KA87182,Jairaj Balakrishnan,1985-07-24,2,6,0,2010-03-19
36,21,31,5,4,KA70305,Tripti Kumer,1992-05-11,2,4,0,2021-04-10
37,30,26,5,4,KA11824,Bhavya Sarna,1976-04-20,2,3,0,2002-09-17
38,28,32,1,3,KA29773,Gautam Merchant,1995-07-29,1,1,0,2023-03-07
39,30,33,4,1,KA83259,Lakshmi Prabhu,1993-07-19,1,6,0,2019-01-02
40,26,34,3,3,KA57749,Vrishti Reddy,1984-10-09,1,8,0,2011-05-13
41,28,35,4,1,KA39102,Tarak Kaul,1996-09-09,2,2,0,2019-09-14
42,4,2,2,1,KA48427,Harsh Chanda,1996-08-19,1,5,0,2024-10-22
43,1,28,5,2,KA80807,Riya Behl,1991-11-03,2,1,0,2015-04-13
44,23,16,2,4,KA25866,Frado Mander,1986-10-03,2,7,0,2015-06-22
45,22,36,3,4,KA77251,Indira Chawla,1991-01-31,1,6,0,2017-02-21
46,12,37,5,2,KA95139,Ayush Gole,1991-05-18,2,1,0,2016-11-19
47,29,27,2,3,KA74139,Nilima Nath,1986-08-25,1,8,0,2009-09-28
48,26,38,4,3,KA62187,Hemani Sani,1977-12-27,2,4,0,2003-06-10
49,5,39,5,2,KA31229,Bimala Narang,1996-08-27,1,7,0,2020-06-26
50,14,29,5,1,KA97177,Manthan Sekhon,1990-08-17,2,6,0,2016-02-12
51,17,22,2,2,KA34983,Advaith Varughese,1990-12-09,1,1,0,2017-03-23
52,3,40,3,2,KA69898,Raksha Sarna,1971-12-27,2,7,0,1999-10-18
53,27,3,5,2,KA84341,Arunima Setty,1974-02-03,1,3,0,1998-06-11
54,19,5,2,2,KA19071,Devansh Rajan,1997-08-09,2,6,0,2025-01-14
55,5,41,4,3,KA52604,Rehaan Kara,1982-04-13,2,7,0,2010-07-22
56,24,12,4,2,KA97153,Hredhaan Dugal,1979-08-27,1,8,0,2006-05-09
57,12,37,4,3,KA34385,Harinakshi Panchal,1979-12-15,2,1,0,2002-03-25
58,4,42,4,3,KA30701,Anjali Sengupta,1996-08-14,1,3,0,2024-10-10
59,10,18,5,2,KA35443,Matthew Kashyap,1973-05-25,2,7,0,1996-07-04
60,6,43,1,2,KA62538,Champak Khare,1980-11-25,3,6,0,2003-11-10
61,15,44,1,4,KA55158,Zehaan Bansal,1998-05-26,1,1,0,2025-02-18
62,13,45,3,1,KA80687,Watika Tank,1982-03-11,2,1,0,2011-08-06
63,8,13,3,2,KA62383,Qushi Datta,1990-06-23,2,2,0,2018-01-01
64,31,20,2,3,KA33788,Faqid Kibe,1984-02-25,2,3,0,2009-04-03
65,7,7,4,3,KA47388,Ansh Karpe,1972-10-31,2,6,0,1999-12-02
66,18,46,5,2,KA71537,Sai Dewan,1978-04-14,1,7,0,2001-05-16
67,2,4,4,1,KA88104,Veer Balay,1996-10-18,1,2,0,2023-01-23
68,26,38,2,1,KA82616,Panini Sunder,1979-11-30,1,3,0,2005-12-11
69,6,47,5,3,KA80852,Yutika Cherian,1996-07-15,1,6,0,2026-02-11
70,14,29,1,4,KA72163,Hemani Natarajan,1988-12-24,2,1,0,2018-09-01
71,11,48,5,3,KA10680,Wridesh Kale,1984-01-14,1,7,0,2007-01-17
72,5,49,4,1,KA46170,Ethan Raju,1989-06-24,2,3,0,2016-05-03
73,20,19,4,3,KA63545,Abha Raghavan,1976-11-02,2,8,0,1998-11-07
74,22,50,4,4,KA76402,Charan Srinivasan,1992-12-17,1,7,0,2020-12-08
75,13,11,2,4,KA67199,Charita Shankar,1984-02-14,2,4,0,2009-08-15
76,3,51,3,2,KA24334,Ladli Rana,1980-06-12,2,6,0,2009-09-12
77,20,19,5,1,KA40340,Suhani Narain,1981-10-17,1,3,0,2004-02-22
78,6,47,2,2,KA31292,Mohini De,1995-08-21,1,4,1,2020-12-22
79,5,49,3,4,KA74634,Robert Patil,1984-04-14,1,6,0,2009-04-12
80,28,35,1,1,KA77621,Chandresh Nath,1992-06-27,2,1,0,2015-08-16
81,14,29,4,1,KA39949,Harini Tripathi,1996-12-11,1,3,1,2023-12-29
82,23,16,5,3,KA78386,Tamanna Sachdeva,1986-10-27,2,3,0,2010-10-12
83,21,31,5,2,KA50668,Ethan Sathe,1993-09-17,1,7,0,2020-02-19
84,11,52,1,4,KA99463,Janaki Brahmbhatt,1988-07-14,2,1,0,2014-05-16
85,12,37,2,1,KA28047,Pushti Bal,1990-03-10,2,4,0,2018-08-10
86,17,22,3,3,KA71894,Harini Mammen,1982-09-23,1,6,0,2010-02-14
87,14,6,1,2,KA54473,Ekapad Walia,1995-07-23,1,5,0,2022-01-21
88,20,53,5,1,KA11581,Anya Gulati,1982-06-07,1,6,1,2010-05-04
89,9,54,1,1,KA86865,Daksh Dey,1978-08-18,1,4,0,2004-12-29
90,9,54,3,2,KA77017,Neelima Sarna,1995-11-08,2,7,0,2018-09-21
91,22,50,4,2,KA98208,Jyoti Narula,1998-05-30,2,8,0,2024-12-24
92,24,12,4,1,KA97410,Chasmum Wadhwa,1976-01-09,1,4,0,2001-06-22
93,21,31,1,1,KA63088,Vincent Shenoy,1990-07-01,2,6,0,2013-10-09
94,3,55,5,3,KA71086,Vritti Sharma,1979-05-30,1,1,0,2006-06-08
95,17,56,3,4,KA44100,Yashasvi Shah,1970-12-19,2,4,0,1996-04-20
96,30,26,5,3,KA98188,Daksha Rau,1974-11-20,2,7,0,2001-01-01
97,21,1,1,3,KA81482,Liam Chaudry,1978-12-27,1,2,0,2008-07-23
98,11,48,2,3,KA68830,Upma Mangal,1980-03-24,1,1,0,2007-01-17
99,22,57,2,2,KA51709,Rachit Sankar,1975-03-01,1,1,0,2003-11-26
100,15,58,2,2,KA72847,Dev Ganesh,1987-06-08,1,6,0,2010-07-22
101,31,23,3,4,KA95823,Rehaan Kalita,1995-12-07,1,3,0,2022-07-07
102,4,42,5,1,KA36143,Rajeshri Chand,1988-02-14,1,8,0,2017-05-26
103,26,38,2,4,KA27009,Oeshi Mahajan,1991-04-24,2,1,0,2019-06-25
104,30,33,3,1,KA86380,Akshay Lalla,1973-09-23,1,8,0,1996-08-16
105,29,27,3,3,KA58566,Naveen Narayan,1981-07-30,1,3,0,2003-12-06
106,5,49,3,3,KA90828,Meera Prakash,1975-01-12,2,1,0,2003-09-04
107,1,59,3,4,KA17553,Rudra Sengupta,1984-02-12,1,3,0,2008-05-08
108,6,43,4,3,KA93719,Bhavya Khanna,1985-01-21,2,7,0,2013-11-22
109,10,18,4,1,KA38361,Ekaja Zachariah,1979-11-25,2,8,0,2004-01-12
110,27,10,3,1,KA13248,Yadavi Wali,1990-07-13,2,4,0,2017-02-19
111,8,13,3,4,KA83060,Zaid Chauhan,1982-10-30,2,3,0,2005-05-17
112,17,56,3,2,KA39135,Bhavini Badal,1971-03-23,2,4,0,1993-11-24
113,2,4,2,1,KA25014,Nandini Loyal,1998-01-17,1,7,0,2026-07-18
114,4,2,1,3,KA40512,Caleb Sharaf,1991-03-13,1,8,0,2014-01-27
115,17,56,3,4,KA23357,Nisha Arora,1971-03-11,1,2,0,1998-05-10
116,6,43,3,4,KA52415,Dev Choudhry,1984-12-09,2,8,0,2012-04-11
117,15,44,4,3,KA77272,Balhaar Memon,1995-01-07,1,2,0,2018-06-25
118,22,57,5,4,KA28434,Harshil Bal,1985-12-05,2,5,0,2013-06-23
119,3,40,2,3,KA36090,Harshil Oza,1972-10-04,3,2,0,1996-05-11
120,13,11,5,3,KA46585,Balveer Bumb,1974-09-25,1,7,0,1997-06-30
121,8,13,3,2,KA65724,Janya Baral,1972-01-29,1,3,0,1995-04-04
122,27,10,4,2,KA29410,Bhavika Sampath,1997-05-02,2,2,0,2025-07-07
123,31,20,2,4,KA40005,Nihal Mukhopadhyay,1991-04-09,1,8,0,2014-04-12
124,23,16,4,4,KA65057,Umang Issac,1993-07-19,1,4,0,2015-09-03
125,18,15,1,2,KA72070,Joshua Handa,1994-05-18,1,3,0,2017-10-11
126,11,52,5,4,KA70089,Michael Sha,1975-03-14,2,4,0,1998-03-24
127,12,30,4,4,KA84228,Alka Nigam,1973-03-14,2,6,0,1996-10-15
128,15,58,4,1,KA74629,Charvi Loyal,1975-05-19,2,4,0,2002-01-02
129,5,60,2,3,KA85067,Megha Taneja,1976-05-15,1,1,1,1998-05-30
130,3,61,3,2,KA56810,Ryan Vora,1975-04-29,2,1,0,2001-01-07
131,18,46,2,3,KA44180,Unni Dayal,1989-07-04,1,8,0,2011-09-03
132,6,47,3,3,KA86943,Dhriti Nagar,1982-03-25,2,1,1,2006-07-15
133,20,19,3,4,KA41439,Krishna Shenoy,1973-07-06,2,6,0,1997-04-04
134,20,19,5,2,KA40595,Arunima Sama,1982-02-20,2,4,0,2004-12-02
135,19,62,3,4,KA68536,Gavin Ram,1993-02-23,3,5,0,2017-09-16
136,8,13,4,2,KA69692,Balendra Pingle,1973-03-20,2,4,0,1996-01-07
137,25,63,5,3,KA40137,Harish Cherian,1975-09-30,2,7,0,2005-04-27
138,30,33,2,4,KA99838,Urishilla Bakshi,1974-05-05,1,4,0,2003-11-03
139,22,21,2,1,KA34586,Michael Saran,1982-12-24,1,3,0,2005-07-28
140,24,64,1,2,KA31409,Bhavani Bala,1979-06-16,2,8,0,2002-07-20
141,5,65,5,1,KA95591,Barkha Misra,1970-11-27,2,4,0,1996-06-10
142,21,31,4,3,KA41891,Udyati Mani,1993-05-06,1,1,0,2016-07-07
143,9,54,2,4,KA69424,Warjas Mittal,1990-04-21,2,8,0,2013-08-03
144,5,60,5,2,KA37532,Pooja Gera,1971-08-29,2,4,0,1997-01-22
145,13,45,5,2,KA30332,Damini Sehgal,1993-02-21,2,1,0,2019-01-03
146,24,64,2,1,KA77765,Sanaya Goel,1983-04-30,1,3,0,2012-05-20
147,23,24,2,3,KA42007,Qarin Behl,1985-08-22,2,6,0,2009-04-04
148,28,32,4,3,KA76462,Gunbir Baral,1993-09-18,1,2,0,2022-05-12
149,20,53,4,1,KA84498,Azad Saini,1995-04-29,3,6,0,2021-08-24
150,3,55,3,3,KA56961,Omkaar Dey,1976-05-18,1,8,0,2004-05-16
151,26,34,2,2,KA40671,Kamala Kalla,1980-03-04,2,8,0,2007-03-11
152,24,12,2,1,KA66346,Yashasvi Suresh,1977-08-01,3,3,1,2001-12-03
153,2,66,2,4,KA49948,Ganga Mall,1981-07-25,1,7,1,2004-02-26
154,3,61,5,1,KA69067,Hemangini Thakkar,1986-12-23,2,6,0,2014-05-30
155,16,67,3,2,KA80517,Tanvi Halder,1984-01-09,1,8,0,2008-05-08
156,16,67,2,2,KA73311,Hritik Sachdeva,1995-01-16,2,2,0,2023-03-07
157,22,50,3,3,KA43119,Omaja Morar,1993-07-31,2,4,0,2018-04-12
158,15,44,5,4,KA70604,Ryan Barman,1977-07-07,1,4,0,2005-10-06
159,16,67,5,2,KA17878,Wishi Agrawal,1993-01-22,3,8,0,2016-12-14
160,2,66,5,3,KA53829,Yashasvi Singh,1992-07-18,1,4,0,2015-02-27
161,3,61,1,2,KA91201,Lavanya Parmer,1979-02-18,2,7,0,2004-04-24
162,1,59,4,4,KA76207,Samesh Mallick,1994-08-20,2,2,0,2021-10-28
163,5,65,2,3,KA65288,Zayyan Kamdar,1982-07-09,3,1,0,2008-04-14
164,29,14,4,3,KA45774,Pranav Lanka,1974-07-31,2,2,0,1999-01-09
165,27,3,4,2,KA94259,Nicholas Prabhakar,1992-04-14,1,8,0,2018-09-15
166,27,10,3,2,KA30257,Dakshesh Bedi,1996-02-08,1,6,0,2025-01-18
167,27,10,1,1,KA42706,Dalbir Bhat,1980-10-01,2,4,0,2010-05-20
168,19,62,4,2,KA83080,Onkar Manne,1971-07-13,2,7,0,1999-09-15
169,11,68,1,2,KA19403,Victor Radhakrishnan,1986-01-31,2,3,0,2008-03-13
170,25,69,5,1,KA88333,Nilima Pathak,1994-01-21,2,2,0,2023-11-01
171,13,45,3,2,KA59712,Fariq Narang,1981-08-01,2,3,0,2009-07-13
172,22,50,4,1,KA37479,Chandani Soman,1988-10-07,1,1,0,2015-12-05
173,7,70,2,2,KA94922,Idika Malhotra,1995-05-13,1,1,0,2024-09-15
174,19,62,4,2,KA55135,Urishilla Suresh,1997-05-12,2,1,0,2025-10-28
175,28,32,4,2,KA67377,Yachana Mahajan,1975-02-25,2,7,0,1999-11-30
176,3,61,5,1,KA84299,Anamika Gole,1981-08-06,1,4,0,2009-12-03
177,3,51,5,1,KA55656,Veda Handa,1993-08-26,1,3,0,2017-03-23
178,19,5,2,2,KA72296,Zayan Apte,1983-08-22,3,8,0,2013-01-08
179,25,69,2,2,KA72018,Pooja Kulkarni,1974-04-13,2,2,0,2003-04-28
180,9,25,1,3,KA99889,Sarthak Kakar,1991-05-26,2,8,0,2019-09-24
181,11,71,2,3,KA71733,Ubika Dhillon,1991-07-15,2,2,0,2014-05-06
182,29,27,3,4,KA22015,Ekiya D’Alia,1981-05-10,1,2,0,2008-06-09
183,3,61,1,2,KA42858,Ati Rajagopal,1972-09-23,2,3,0,1995-06-20
184,9,25,4,4,KA60422,Upkaar Virk,1974-09-08,1,5,0,1998-11-26
185,22,36,1,4,KA93816,Charan Mani,1993-04-17,2,4,0,2018-05-10
186,12,30,5,2,KA69460,Edhitha Sura,1993-08-07,1,7,0,2020-04-16
187,3,40,3,1,KA15100,Yamini Gera,1994-12-17,1,3,0,2017-06-14
188,16,17,5,1,KA37802,Zarna Shetty,1978-02-06,1,7,0,2005-07-21
189,18,46,2,3,KA57139,Janaki Trivedi,1976-01-06,1,3,0,2000-12-06
190,24,64,2,4,KA42895,Hemangini Gade,1986-10-20,2,4,0,2012-02-24
191,8,8,2,1,KA64948,Urvashi Kibe,1977-12-11,1,8,0,2000-11-05
192,16,67,2,4,KA86415,Shravya Shankar,1972-03-27,2,8,0,1998-06-11
193,23,24,1,4,KA49251,Harshil Arora,1992-05-11,1,7,0,2016-03-17
194,11,52,1,4,KA70238,David Tiwari,1989-11-07,2,6,0,2018-11-09
195,6,43,4,1,KA40870,Yutika Khurana,1987-08-30,2,7,0,2013-12-12
196,8,8,2,1,KA37938,Darsh Rau,1993-07-26,2,6,0,2021-07-31
197,2,66,2,4,KA39716,Falan Swamy,1987-07-12,2,4,0,2010-11-11
198,15,58,1,1,KA19661,Oviya Mistry,1985-06-11,2,2,0,2012-06-27
199,17,22,5,1,KA64387,Wyatt Ray,1977-02-26,2,2,0,2002-03-28
200,4,42,1,2,KA17754,Ikshita Bala,1978-03-18,2,2,0,2007-06-09
201,18,15,5,2,KA43586,Owen Mitra,1984-12-17,1,1,0,2014-10-16
202,28,35,4,1,KA16980,Aarnav Malhotra,1981-11-01,2,5,0,2008-06-21
203,31,20,2,1,KA52247,Jyoti Ganesh,1986-06-24,1,2,0,2013-04-22
204,13,45,4,2,KA80419,Fitan Samra,1983-02-26,2,5,0,2007-02-21
205,29,14,2,2,KA64921,Garima Bala,1982-08-08,2,3,1,2008-12-16
206,15,44,3,4,KA10395,Yutika Rao,1981-05-24,1,2,0,2006-03-26
207,11,71,3,3,KA28997,Oviya Ravel,1976-05-10,2,6,0,2003-03-25
208,7,70,1,2,KA25725,Gautam Mane,1995-09-24,2,4,0,2025-08-27
209,21,1,3,2,KA42098,Aryan Maharaj,1992-05-30,2,1,0,2017-06-24
210,25,63,1,1,KA80208,Bhavika Wason,1989-10-19,1,5,0,2017-07-29
211,26,34,3,2,KA59377,Krishna Rama,1973-12-17,1,6,0,2002-08-23
212,18,46,1,2,KA64254,Atharv Patel,1978-09-17,1,6,0,2004-03-15
213,7,7,1,3,KA59672,Yug Kar,1986-01-06,1,8,0,2009-11-05
214,22,50,2,3,KA68860,Urvi Lanka,1997-10-06,2,4,0,2020-07-29
215,23,24,5,1,KA48452,Upasna Srinivas,1990-03-10,2,4,0,2012-10-19
216,30,33,4,2,KA96787,Suhani Pillay,1988-11-29,1,1,0,2018-04-03
217,8,8,4,4,KA11220,Unni Bhagat,1985-01-25,2,1,0,2007-11-13
218,5,65,5,3,KA68313,Vasatika Bhatt,1993-12-10,2,4,0,2018-12-20
219,11,52,5,2,KA47171,Yug Bumb,1996-06-04,1,3,0,2022-01-11
220,5,41,2,1,KA70249,Faras Merchant,1975-05-03,2,7,0,1999-04-06
221,28,35,4,2,KA45755,Samesh Biswas,1978-12-10,1,4,0,2002-09-21
222,9,25,4,1,KA96275,Dalaja Bhasin,1990-09-05,2,2,0,2012-11-27
223,29,14,4,2,KA54057,Radha Pai,1971-12-16,2,3,0,1998-04-20
224,26,34,1,1,KA79013,Waida D’Alia,1971-12-03,1,6,0,1999-12-16
225,22,21,1,2,KA67939,Veda Shroff,1976-08-24,1,8,1,2005-08-23
226,30,26,4,1,KA98647,Ekbal Bhasin,1979-09-11,1,1,0,2004-03-17
227,25,63,2,4,KA70387,Advik Virk,1980-01-20,1,3,0,2009-09-05
228,29,14,1,1,KA72518,Ekaraj Mallick,1981-10-28,2,8,0,2008-01-28
229,13,45,5,3,KA12979,Pranit Memon,1973-05-04,2,4,0,1995-05-13
230,29,27,5,2,KA62184,Suhani Chakrabarti,1998-05-03,2,1,0,2020-12-31
231,23,16,5,4,KA66148,Girik Keer,1988-03-11,2,7,0,2016-02-25
232,20,53,1,2,KA48737,Panini Wali,1980-10-21,1,3,0,2007-03-08
233,5,39,2,2,KA26274,Siddharth Devan,1977-08-11,2,8,0,2000-03-19
234,19,62,4,1,KA82733,Jack Morar,1973-06-11,1,8,0,2001-09-12
235,17,56,2,2,KA82869,Vasudha Sura,1983-05-09,1,1,0,2010-05-29
236,25,63,1,3,KA43792,Isaiah Sachdeva,1997-04-02,1,5,0,2020-07-16
237,18,15,1,4,KA95215,Charita Tripathi,1993-03-24,1,2,0,2017-09-22
238,24,64,4,3,KA33148,Azaan Khurana,1984-02-29,1,6,0,2006-04-03
239,28,32,2,2,KA21053,Parth Iyer,1981-10-09,2,2,0,2007-08-10
240,17,56,1,1,KA99952,Praneel Chhabra,1987-09-29,2,1,0,2013-11-25
241,5,41,5,3,KA99226,Yashica Zacharia,1997-06-21,2,5,0,2026-07-18
242,5,60,3,2,KA77181,Rachit Maharaj,1982-09-12,3,6,0,2011-12-04
243,25,69,4,1,KA77195,Abhimanyu Virk,1977-02-01,1,4,0,2004-02-29
244,3,51,4,1,KA67431,Sarthak Suresh,1980-10-12,2,1,0,2003-11-10
245,5,39,1,2,KA79924,Xiti Pandya,1994-08-06,1,6,0,2023-06-21
246,11,52,3,3,KA66314,Ojasvi Sinha,1996-02-05,1,8,0,2020-07-10
247,14,6,4,2,KA80292,Kabir Soman,1996-09-17,1,4,0,2020-10-30
248,3,40,5,4,KA82070,Shivani Guha,1986-05-26,1,6,1,2013-06-07
249,25,69,5,2,KA48616,Keya Jha,1974-08-31,1,2,0,2000-08-09
250,11,68,5,2,KA30220,Oliver Oommen,1991-11-11,3,6,0,2018-07-10
251,22,57,4,4,KA85082,Anamika Chaudry,1985-10-14,2,6,1,2015-08-23
252,20,53,5,2,KA96298,Aarush Bajaj,1974-12-27,2,5,0,1997-04-09
253,5,65,5,2,KA31233,Mekhala Chaudry,1986-07-14,2,7,0,2009-05-28
254,6,43,2,2,KA48669,Mason Wable,1979-05-13,2,6,0,2005-02-15
255,1,59,3,1,KA57235,Lopa Agrawal,1990-10-21,2,7,0,2013-05-10
256,8,8,5,2,KA97782,Niharika Gupta,1997-05-08,2,8,0,2021-08-16
257,11,71,3,3,KA64079,Farhan Raj,1987-03-30,3,5,0,2011-11-20
258,22,36,1,1,KA68606,Nirja Pandya,1993-06-14,2,4,0,2019-05-18
259,28,32,3,1,KA84928,Bahadurjit Patla,1981-03-02,2,3,0,2008-03-12
260,9,54,3,4,KA17589,Vivaan Nagar,1987-10-20,2,4,0,2012-06-17
261,3,51,4,1,KA78303,Chanchal Kar,1979-01-16,1,3,0,2003-05-07
262,10,9,5,3,KA93130,Girik Khalsa,1992-11-04,1,8,0,2022-07-15
263,3,40,5,1,KA61629,Yachana Dora,1981-08-05,2,7,0,2004-08-30
264,7,70,1,2,KA22050,Zarna Aurora,1984-06-13,2,1,0,2013-05-19
265,3,55,3,4,KA24283,Xalak Nazareth,1990-01-16,2,6,0,2018-08-01
266,5,39,5,2,KA82199,Lajita Walia,1976-08-19,3,8,0,2005-09-27
267,11,68,2,2,KA67041,Vasatika Garde,1991-04-17,1,6,0,2017-07-21
268,5,49,5,2,KA57333,Ati Dani,1987-10-24,2,3,0,2010-08-29
269,26,34,3,3,KA91885,Oni Dubey,1986-02-02,1,2,0,2015-11-04
270,31,20,3,3,KA15273,Devika Prashad,1974-05-02,1,3,0,2002-10-12
271,13,11,2,3,KA24208,William Lanka,1993-06-11,2,7,0,2015-11-09
272,11,48,3,4,KA23399,Chanakya Bedi,1990-07-03,2,6,0,2015-07-06
273,22,57,3,2,KA48602,Abdul Morar,1974-04-13,1,2,0,1999-09-15
274,28,35,5,2,KA20696,Zashil Ghosh,1975-07-31,2,2,0,2001-11-22
275,20,53,3,3,KA24777,Yug Sharma,1983-07-24,2,1,0,2009-11-14
276,22,36,4,2,KA88986,Darpan Narayan,1998-04-11,1,3,0,2025-04-05
277,14,6,1,4,KA71213,Farhan Chada,1972-08-16,2,2,0,1999-03-21
278,19,62,4,2,KA99208,Ryan Chatterjee,1993-03-07,1,4,0,2018-04-03
279,11,68,3,3,KA28228,Luke Gopal,1978-02-13,1,7,1,2005-06-06
280,24,12,2,2,KA48752,Hemang Desai,1970-12-03,2,5,0,2000-09-21
281,5,65,1,2,KA34102,Ekta Malhotra,1982-02-05,1,5,0,2005-12-16
282,5,39,1,1,KA47230,Widisha Sani,1974-09-27,1,5,0,2002-07-17
283,22,21,2,2,KA13783,Shravya Kohli,1973-08-09,2,6,0,1996-12-13
284,3,51,1,4,KA15856,Ikshita Mahal,1981-06-11,1,7,0,2006-10-17
